N	Total Time	Average CPE
1	47	47.00
2	48	24.00
3	55	18.33
4	86	21.50
5	115	23.00
6	113	18.83
7	229	32.71
8	122	15.25
9	125	13.89
10	140	14.00
11	163	14.82
12	158	13.17
13	192	14.77
14	176	12.57
15	136	9.07
16	141	8.81
17	354	20.82
18	364	20.22
19	354	18.63
20	363	18.15
21	371	17.67
22	353	16.05
23	238	10.35
24	836	34.83
25	255	10.20
26	261	10.04
27	268	9.93
28	274	9.79
29	279	9.62
30	292	9.73
31	296	9.55
32	298	9.31
33	357	10.82
34	371	10.91
35	359	10.26
36	366	10.17
37	372	10.05
38	385	10.13
39	401	10.28
40	391	9.78
41	406	9.90
42	403	9.60
43	414	9.63
44	427	9.70
45	426	9.47
46	430	9.35
47	448	9.53
48	449	9.35
49	453	9.24
50	468	9.36
51	476	9.33
52	484	9.31
53	505	9.53
54	521	9.65
55	515	9.36
56	520	9.29
57	527	9.25
58	576	9.93
59	536	9.08
60	541	9.02
61	553	9.07
62	566	9.13
63	573	9.10
64	577	9.02
65	800	12.31
66	634	9.61
67	641	9.57
68	646	9.50
69	648	9.39
70	652	9.31
71	665	9.37
72	668	9.28
73	669	9.16
74	693	9.36
75	692	9.23
76	696	9.16
77	707	9.18
78	705	9.04
79	742	9.39
80	717	8.96
81	731	9.02
82	757	9.23
83	904	10.89
84	747	8.89
85	1122	13.20
86	754	8.77
87	765	8.79
88	766	8.70
89	782	8.79
90	780	8.67
91	793	8.71
92	969	10.53
93	807	8.68
94	815	8.67
95	813	8.56
96	2825	29.43
97	828	8.54
98	833	8.50
99	857	8.66
100	1147	11.47
101	1021	10.11
102	1494	14.65
103	871	8.46
104	874	8.40
105	878	8.36
106	883	8.33
107	896	8.37
108	899	8.32
109	910	8.35
110	915	8.32
111	926	8.34
112	956	8.54
113	930	8.23
114	945	8.29
115	945	8.22
116	952	8.21
117	997	8.52
118	969	8.21
119	981	8.24
120	987	8.22
121	1001	8.27
122	997	8.17
123	999	8.12
124	1014	8.18
125	1010	8.08
126	1025	8.13
127	1091	8.59
128	1033	8.07
129	1335	10.35
130	1095	8.42
131	1126	8.60
132	1142	8.65
133	1199	9.02
134	1233	9.20
135	1212	8.98
136	1133	8.33
137	1135	8.28
138	1327	9.62
139	1146	8.24
140	1273	9.09
141	1186	8.41
142	1164	8.20
143	1188	8.31
144	1182	8.21
145	1223	8.43
146	1194	8.18
147	1661	11.30
148	1407	9.51
149	1217	8.17
150	1220	8.13
151	1377	9.12
152	1234	8.12
153	1913	12.50
154	1474	9.57
155	1452	9.37
156	1260	8.08
157	1319	8.40
158	1630	10.32
159	1287	8.09
160	1294	8.09
161	1291	8.02
162	1299	8.02
163	1310	8.04
164	1311	7.99
165	1323	8.02
166	1334	8.04
167	1333	7.98
168	1375	8.18
169	1346	7.96
170	1355	7.97
171	1355	7.92
172	1364	7.93
173	1372	7.93
174	1400	8.05
175	1382	7.90
176	1394	7.92
177	1411	7.97
178	1406	7.90
179	1445	8.07
180	1437	7.98
181	1887	10.43
182	1432	7.87
183	1442	7.88
184	1457	7.92
185	1460	7.89
186	1465	7.88
187	1465	7.83
188	1479	7.87
189	1483	7.85
190	1521	8.01
191	1499	7.85
192	1518	7.91
193	1506	7.80
194	1509	7.78
195	1526	7.83
196	3248	16.57
197	1564	7.94
198	1543	7.79
199	1579	7.93
200	1949	9.74
201	1760	8.76
202	1570	7.77
203	1781	8.77
204	1586	7.77
205	1584	7.73
206	1590	7.72
207	1597	7.71
208	1637	7.87
209	2005	9.59
210	1623	7.73
211	1630	7.73
212	1637	7.72
213	1794	8.42
214	1644	7.68
215	1657	7.71
216	1662	7.69
217	1730	7.97
218	1684	7.72
219	1682	7.68
220	1695	7.70
221	1899	8.59
222	1711	7.71
223	1709	7.66
224	1723	7.69
225	1722	7.65
226	1765	7.81
227	2094	9.22
228	1741	7.64
229	1753	7.66
230	1922	8.36
231	1770	7.66
232	2758	11.89
233	1793	7.70
234	1889	8.07
235	1797	7.65
236	1995	8.45
237	1801	7.60
238	1823	7.66
239	1820	7.62
240	2006	8.36
241	1830	7.59
242	1875	7.75
243	1854	7.63
244	1856	7.61
245	2059	8.40
246	1878	7.63
247	1874	7.59
248	1894	7.64
249	1935	7.77
250	1935	7.74
251	2299	9.16
252	1915	7.60
253	1913	7.56
254	1980	7.80
255	1937	7.60
256	1942	7.59
257	2311	8.99
258	2022	7.84
259	2376	9.17
260	2075	7.98
261	2008	7.69
262	2051	7.83
263	2202	8.37
264	2094	7.93
265	2076	7.83
266	2051	7.71
267	2048	7.67
268	2066	7.71
269	2093	7.78
270	2066	7.65
271	2069	7.63
272	2133	7.84
273	2428	8.89
274	2099	7.66
275	2105	7.65
276	2122	7.69
277	2117	7.64
278	2124	7.64
279	2163	7.75
280	2530	9.04
281	2141	7.62
282	2171	7.70
283	2322	8.20
284	2163	7.62
285	2315	8.12
286	2216	7.75
287	2551	8.89
288	2215	7.69
289	2219	7.68
290	2262	7.80
291	2495	8.57
292	2254	7.72
293	2245	7.66
294	2256	7.67
295	2238	7.59
296	2295	7.75
297	2265	7.63
298	2309	7.75
299	2312	7.73
300	3277	10.92
301	2341	7.78
302	2286	7.57
303	2312	7.63
304	2315	7.62
305	2355	7.72
306	2334	7.63
307	2334	7.60
308	2367	7.69
309	2359	7.63
310	2356	7.60
311	2390	7.68
312	2730	8.75
313	2369	7.57
314	2386	7.60
315	2618	8.31
316	2465	7.80
317	2432	7.67
318	2781	8.75
319	2432	7.62
320	2420	7.56
321	2437	7.59
322	2426	7.53
323	2477	7.67
324	2462	7.60
325	2450	7.54
326	2546	7.81
327	2479	7.58
328	2475	7.55
329	2510	7.63
330	2577	7.81
331	2488	7.52
332	2515	7.58
333	2511	7.54
334	2518	7.54
335	2558	7.64
336	2883	8.58
337	2540	7.54
338	2723	8.06
339	3458	10.20
340	2567	7.55
341	2638	7.74
342	2586	7.56
343	2587	7.54
344	2613	7.60
345	2611	7.57
346	2638	7.62
347	2609	7.52
348	2617	7.52
349	2647	7.58
350	2629	7.51
351	2645	7.54
352	2753	7.82
353	3062	8.67
354	2669	7.54
355	2698	7.60
356	2699	7.58
357	2679	7.50
358	2741	7.66
359	2690	7.49
360	2702	7.51
361	2737	7.58
362	2741	7.57
363	2784	7.67
364	2740	7.53
365	2743	7.52
366	2770	7.57
367	2749	7.49
368	2806	7.62
369	2784	7.54
370	2781	7.52
371	2788	7.51
372	2781	7.48
373	2815	7.55
374	2846	7.61
375	2818	7.51
376	3002	7.98
377	2817	7.47
378	2831	7.49
379	2903	7.66
380	2900	7.63
381	2869	7.53
382	3110	8.14
383	2869	7.49
384	2922	7.61
385	2887	7.50
386	2904	7.52
387	2899	7.49
388	2992	7.71
389	2944	7.57
390	2923	7.49
391	3244	8.30
392	2924	7.46
393	2939	7.48
394	2975	7.55
395	3322	8.41
396	2969	7.50
397	3006	7.57
398	2987	7.51
399	3094	7.75
400	3639	9.10
401	3001	7.48
402	3014	7.50
403	3044	7.55
404	3018	7.47
405	3018	7.45
406	3045	7.50
407	3029	7.44
408	3082	7.55
409	3396	8.30
410	3056	7.45
411	3196	7.78
412	3079	7.47
413	3108	7.53
414	3460	8.36
415	3096	7.46
416	3147	7.56
417	3101	7.44
418	3166	7.57
419	3113	7.43
420	3289	7.83
421	3523	8.37
422	3201	7.59
423	3155	7.46
424	3165	7.46
425	3174	7.47
426	3155	7.41
427	3205	7.51
428	3543	8.28
429	3193	7.44
430	3207	7.46
431	3220	7.47
432	3628	8.40
433	3203	7.40
434	3224	7.43
435	3224	7.41
436	3264	7.49
437	3241	7.42
438	3272	7.47
439	3654	8.32
440	3250	7.39
441	3627	8.22
442	3310	7.49
443	3302	7.45
444	3376	7.60
445	3339	7.50
446	3715	8.33
447	3470	7.76
