N	Total Time	Average CPE
1	69	69.00
2	59	29.50
3	67	22.33
4	81	20.25
5	85	17.00
6	97	16.17
7	99	14.14
8	126	15.75
9	127	14.11
10	124	12.40
11	134	12.18
12	143	11.92
13	151	11.62
14	475	33.93
15	197	13.13
16	206	12.88
17	252	14.82
18	254	14.11
19	262	13.79
20	271	13.55
21	280	13.33
22	290	13.18
23	299	13.00
24	308	12.83
25	319	12.76
26	326	12.54
27	516	19.11
28	341	12.18
29	355	12.24
30	387	12.90
31	394	12.71
32	401	12.53
33	473	14.33
34	485	14.26
35	487	13.91
36	496	13.78
37	510	13.78
38	512	13.47
39	523	13.41
40	537	13.43
41	541	13.20
42	578	13.76
43	558	12.98
44	565	12.84
45	601	13.36
46	616	13.39
47	615	13.09
48	626	13.04
49	635	12.96
50	645	12.90
51	659	12.92
52	670	12.88
53	678	12.79
54	873	16.17
55	691	12.56
56	699	12.48
57	718	12.60
58	720	12.41
59	935	15.85
60	734	12.23
61	753	12.34
62	760	12.26
63	771	12.24
64	778	12.16
65	851	13.09
66	854	12.94
67	859	12.82
68	887	13.04
69	885	12.83
70	884	12.63
71	895	12.61
72	903	12.54
73	905	12.40
74	922	12.46
75	928	12.37
76	939	12.36
77	947	12.30
78	1204	15.44
79	1243	15.73
80	1024	12.80
81	979	12.09
82	992	12.10
83	999	12.04
84	1008	12.00
85	1013	11.92
86	1031	11.99
87	1036	11.91
88	1047	11.90
89	1053	11.83
90	1061	11.79
91	1223	13.44
92	1076	11.70
93	1082	11.63
94	1095	11.65
95	1108	11.66
96	1117	11.64
97	1124	11.59
98	1174	11.98
99	1144	11.56
100	1155	11.55
101	1159	11.48
102	1167	11.44
103	1176	11.42
104	1186	11.40
105	1189	11.32
106	1353	12.76
107	1209	11.30
108	1217	11.27
109	1227	11.26
110	1234	11.22
111	1248	11.24
112	1257	11.22
113	1262	11.17
114	1310	11.49
115	1284	11.17
116	1296	11.17
117	1303	11.14
118	1312	11.12
119	1318	11.08
120	1325	11.04
121	1347	11.13
122	1345	11.02
123	1355	11.02
124	1365	11.01
125	1371	10.97
126	1378	10.94
127	1391	10.95
128	1446	11.30
129	1510	11.71
130	1485	11.42
131	1488	11.36
132	1804	13.67
133	1507	11.33
134	1514	11.30
135	1518	11.24
136	1680	12.35
137	1538	11.23
138	1572	11.39
139	3415	24.57
140	1604	11.46
141	2028	14.38
142	1604	11.30
143	1619	11.32
144	1628	11.31
145	1633	11.26
146	2059	14.10
147	1651	11.23
148	1660	11.22
149	1671	11.21
150	1689	11.26
151	1688	11.18
152	1743	11.47
153	1705	11.14
154	1716	11.14
155	1724	11.12
156	1733	11.11
157	2330	14.84
158	1749	11.07
159	1760	11.07
160	1767	11.04
161	1777	11.04
162	1857	11.46
163	1806	11.08
164	1802	10.99
165	1818	11.02
166	2096	12.63
167	1828	10.95
168	1905	11.34
169	1858	10.99
170	1855	10.91
171	1867	10.92
172	1876	10.91
173	2110	12.20
174	1894	10.89
175	1900	10.86
176	1915	10.88
177	1917	10.83
178	2341	13.15
179	1937	10.82
180	1947	10.82
181	3312	18.30
182	2278	12.52
183	2056	11.23
184	1981	10.77
185	2289	12.37
186	1998	10.74
187	2011	10.75
188	2014	10.71
189	2028	10.73
190	2035	10.71
191	2089	10.94
192	2052	10.69
193	2061	10.68
194	2072	10.68
195	2076	10.65
196	2333	11.90
197	2096	10.64
198	2107	10.64
199	2112	10.61
200	2165	10.82
201	2145	10.67
202	2146	10.62
203	2677	13.19
204	2158	10.58
205	2382	11.62
206	2183	10.60
207	2192	10.59
208	2212	10.63
209	2260	10.81
210	2315	11.02
211	2220	10.52
212	2284	10.77
213	2495	11.71
214	2252	10.52
215	2256	10.49
216	4526	20.95
217	2314	10.66
218	2285	10.48
219	2621	11.97
220	2305	10.48
221	2316	10.48
222	2325	10.47
223	2338	10.48
224	2342	10.46
225	2400	10.67
226	2380	10.53
227	2393	10.54
228	2429	10.65
229	2430	10.61
230	2423	10.53
231	2447	10.59
232	2453	10.57
233	2518	10.81
234	2477	10.59
235	2794	11.89
236	2515	10.66
237	2515	10.61
238	2524	10.61
239	2529	10.58
240	2590	10.79
241	2775	11.51
242	2558	10.57
243	2564	10.55
244	2582	10.58
245	2585	10.55
246	2750	11.18
247	2888	11.69
248	2620	10.56
249	2937	11.80
250	2628	10.51
251	2839	11.31
252	2649	10.51
253	2667	10.54
254	2703	10.64
255	2688	10.54
256	2683	10.48
257	3489	13.58
258	2744	10.64
259	2755	10.64
260	2775	10.67
261	2824	10.82
262	2784	10.63
263	2802	10.65
264	2811	10.65
265	2810	10.60
266	2819	10.60
267	2835	10.62
268	2878	10.74
269	2872	10.68
270	2885	10.69
271	2894	10.68
272	2910	10.70
273	4157	15.23
274	2963	10.81
275	2916	10.60
276	2954	10.70
277	2955	10.67
278	3094	11.13
279	2961	10.61
280	2977	10.63
281	3055	10.87
282	3011	10.68
283	3022	10.68
284	3394	11.95
285	3081	10.81
286	3148	11.01
287	3129	10.90
288	3346	11.62
289	3106	10.75
290	3118	10.75
291	3122	10.73
292	3172	10.86
293	3141	10.72
294	3157	10.74
295	3161	10.72
296	3171	10.71
297	3188	10.73
298	4639	15.57
299	3201	10.71
300	3218	10.73
301	3560	11.83
302	3238	10.72
303	3232	10.67
304	3289	10.82
305	3251	10.66
306	3276	10.71
307	3467	11.29
308	3274	10.63
309	3289	10.64
310	3367	10.86
311	3320	10.68
312	3587	11.50
313	3464	11.07
314	3335	10.62
315	3398	10.79
316	3355	10.62
317	3660	11.55
318	3365	10.58
319	3371	10.57
320	4945	15.45
321	3454	10.76
322	3426	10.64
323	3419	10.59
324	3420	10.56
325	3429	10.55
326	3476	10.66
327	3460	10.58
328	3715	11.33
329	3677	11.18
330	3476	10.53
331	3485	10.53
332	3556	10.71
333	3528	10.59
334	3663	10.97
335	3521	10.51
336	3530	10.51
337	3586	10.64
338	3549	10.50
339	3568	10.53
340	3723	10.95
341	3575	10.48
342	3950	11.55
343	3598	10.49
344	3606	10.48
345	3798	11.01
346	3621	10.47
347	3668	10.57
348	3842	11.04
349	3669	10.51
350	3852	11.01
351	3671	10.46
352	3730	10.60
353	3695	10.47
354	3967	11.21
355	3705	10.44
356	3711	10.42
357	3770	10.56
358	3734	10.43
359	4035	11.24
360	3918	10.88
361	3759	10.41
362	4501	12.43
363	3772	10.39
364	3789	10.41
365	3945	10.81
366	3926	10.73
367	9652	26.30
368	3813	10.36
369	3871	10.49
370	3822	10.33
371	5091	13.72
372	3851	10.35
373	4183	11.21
374	3925	10.49
375	4043	10.78
376	4369	11.62
377	3888	10.31
378	3943	10.43
379	3910	10.32
380	5156	13.57
381	3922	10.29
382	3942	10.32
383	3979	10.39
384	3959	10.31
385	3972	10.32
386	3967	10.28
387	4019	10.39
388	4036	10.40
389	3996	10.27
390	4223	10.83
391	4264	10.91
392	4069	10.38
393	4028	10.25
394	4066	10.32
395	4050	10.25
396	4060	10.25
397	4106	10.34
398	4077	10.24
399	4084	10.24
400	4111	10.28
401	4150	10.35
402	4157	10.34
403	4345	10.78
404	4202	10.40
405	4162	10.28
406	4240	10.44
407	4157	10.21
408	4172	10.23
409	4174	10.21
410	4232	10.32
411	4202	10.22
412	4215	10.23
413	4221	10.22
414	4400	10.63
415	4234	10.20
416	4297	10.33
417	4419	10.60
418	4255	10.18
419	4319	10.31
420	4272	10.17
421	4292	10.19
422	4508	10.68
423	4361	10.31
424	4335	10.22
425	4344	10.22
426	4321	10.14
427	4390	10.28
428	4340	10.14
429	4357	10.16
430	4537	10.55
431	4376	10.15
432	4426	10.25
433	4879	11.27
434	4403	10.15
435	4407	10.13
436	4463	10.24
437	4423	10.12
438	4439	10.13
439	4443	10.12
440	4491	10.21
441	4460	10.11
