N	Total Time	Average CPE
1	79	79.00
2	78	39.00
3	561	187.00
4	86	21.50
5	80	16.00
6	89	14.83
7	99	14.14
8	106	13.25
9	115	12.78
10	122	12.20
11	132	12.00
12	180	15.00
13	148	11.38
14	158	11.29
15	199	13.27
16	194	12.12
17	276	16.24
18	266	14.78
19	278	14.63
20	288	14.40
21	295	14.05
22	303	13.77
23	310	13.48
24	320	13.33
25	329	13.16
26	358	13.77
27	394	14.59
28	653	23.32
29	643	22.17
30	408	13.60
31	398	12.84
32	411	12.84
33	464	14.06
34	470	13.82
35	483	13.80
36	487	13.53
37	497	13.43
38	505	13.29
39	519	13.31
40	523	13.07
41	549	13.39
42	533	12.69
43	538	12.51
44	558	12.68
45	575	12.78
46	569	12.37
47	586	12.47
48	585	12.19
49	592	12.08
50	604	12.08
51	610	11.96
52	617	11.87
53	638	12.04
54	633	11.72
55	644	11.71
56	651	11.62
57	659	11.56
58	670	11.55
59	674	11.42
60	685	11.42
61	703	11.52
62	743	11.98
63	708	11.24
64	724	11.31
65	889	13.68
66	782	11.85
67	1503	22.43
68	1005	14.78
69	886	12.84
70	817	11.67
71	820	11.55
72	830	11.53
73	1014	13.89
74	844	11.41
75	854	11.39
76	867	11.41
77	1337	17.36
78	888	11.38
79	885	11.20
80	893	11.16
81	917	11.32
82	926	11.29
83	919	11.07
84	975	11.61
85	940	11.06
86	946	11.00
87	954	10.97
88	970	11.02
89	967	10.87
90	980	10.89
91	987	10.85
92	1363	14.82
93	1006	10.82
94	1012	10.77
95	1029	10.83
96	1034	10.77
97	1041	10.73
98	1044	10.65
99	1063	10.74
100	1343	13.43
101	1067	10.56
102	1154	11.31
103	1090	10.58
104	1095	10.53
105	1347	12.83
106	1111	10.48
107	1122	10.49
108	1131	10.47
109	1137	10.43
110	1300	11.82
111	1156	10.41
112	1206	10.77
113	1182	10.46
114	1190	10.44
115	1197	10.41
116	1194	10.29
117	1209	10.33
118	1256	10.64
119	1221	10.26
120	1227	10.22
121	1242	10.26
122	1260	10.33
123	1264	10.28
124	1268	10.23
125	1267	10.14
126	1457	11.56
127	1298	10.22
128	1314	10.27
129	1626	12.60
130	1366	10.51
131	1372	10.47
132	1376	10.42
133	1416	10.65
134	1391	10.38
135	1400	10.37
136	1564	11.50
137	1416	10.34
138	1471	10.66
139	1599	11.50
140	1439	10.28
141	1843	13.07
142	1505	10.60
143	1465	10.24
144	1474	10.24
145	1530	10.55
146	1498	10.26
147	1506	10.24
148	1526	10.31
149	1514	10.16
150	1535	10.23
151	1813	12.01
152	1571	10.34
153	1551	10.14
154	1557	10.11
155	1564	10.09
156	1583	10.15
157	1630	10.38
158	1605	10.16
159	1638	10.30
160	1618	10.11
161	1625	10.09
162	1639	10.12
163	1632	10.01
164	1647	10.04
165	2001	12.13
166	1664	10.02
167	1660	9.94
168	1670	9.94
169	1718	10.17
170	1707	10.04
171	1713	10.02
172	1720	10.00
173	2241	12.95
174	1738	9.99
175	1745	9.97
176	1742	9.90
177	1756	9.92
178	1749	9.83
179	1798	10.04
180	1771	9.84
181	2602	14.38
182	2020	11.10
183	1882	10.28
184	1986	10.79
185	1810	9.78
186	2176	11.70
187	1836	9.82
188	1837	9.77
189	1886	9.98
190	1853	9.75
191	1855	9.71
192	1873	9.76
193	1877	9.73
194	2060	10.62
195	1903	9.76
196	1924	9.82
197	1911	9.70
198	1924	9.72
199	2023	10.17
200	2214	11.07
201	1943	9.67
202	1949	9.65
203	2125	10.47
204	1976	9.69
205	2413	11.77
206	2159	10.48
207	1994	9.63
208	2030	9.76
209	2061	9.86
210	2015	9.60
211	2031	9.63
212	2044	9.64
213	2048	9.62
214	2066	9.65
215	2067	9.61
216	2073	9.60
217	2118	9.76
218	2084	9.56
219	3179	14.52
220	2102	9.55
221	2132	9.65
222	2134	9.61
223	2141	9.60
224	2141	9.56
225	2191	9.74
226	2155	9.54
227	2159	9.51
228	2166	9.50
229	2343	10.23
230	2184	9.50
231	2565	11.10
232	2203	9.50
233	2207	9.47
234	2503	10.70
235	2236	9.51
236	2244	9.51
237	2236	9.43
238	2385	10.02
239	2663	11.14
240	2280	9.50
241	2288	9.49
242	2325	9.61
243	2290	9.42
244	2307	9.45
245	2548	10.40
246	2465	10.02
247	2339	9.47
248	2335	9.42
249	2366	9.50
250	2358	9.43
251	2501	9.96
252	2612	10.37
253	2380	9.41
254	2408	9.48
255	2391	9.38
256	2394	9.35
257	2784	10.83
258	2493	9.66
259	2487	9.60
260	2477	9.53
261	2643	10.13
262	2949	11.26
263	2500	9.51
264	2556	9.68
265	2528	9.54
266	2529	9.51
267	2535	9.49
268	2556	9.54
269	2888	10.74
270	2610	9.67
271	2628	9.70
272	2578	9.48
273	2589	9.48
274	2602	9.50
275	2618	9.52
276	2975	10.78
277	2622	9.47
278	2679	9.64
279	2648	9.49
280	3412	12.19
281	2666	9.49
282	2713	9.62
283	3058	10.81
284	2683	9.45
285	2735	9.60
286	2719	9.51
287	2709	9.44
288	2915	10.12
289	2731	9.45
290	2731	9.42
291	2747	9.44
292	2790	9.55
293	2759	9.42
294	2777	9.45
295	2773	9.40
296	2785	9.41
297	2784	9.37
298	2837	9.52
299	2811	9.40
300	2831	9.44
301	3085	10.25
302	2835	9.39
303	2849	9.40
304	2913	9.58
305	2878	9.44
306	3892	12.72
307	2873	9.36
