N	Total Time	Average CPE
1	61	61.00
2	62	31.00
3	76	25.33
4	87	21.75
5	98	19.60
6	110	18.33
7	122	17.43
8	135	16.88
9	151	16.78
10	157	15.70
11	168	15.27
12	180	15.00
13	195	15.00
14	204	14.57
15	232	15.47
16	244	15.25
17	291	17.12
18	306	17.00
19	317	16.68
20	328	16.40
21	334	15.90
22	346	15.73
23	2552	110.96
24	372	15.50
25	378	15.12
26	394	15.15
27	405	15.00
28	551	19.68
29	427	14.72
30	420	14.00
31	435	14.03
32	435	13.59
33	549	16.64
34	564	16.59
35	561	16.03
36	596	16.56
37	603	16.30
38	594	15.63
39	623	15.97
40	645	16.12
41	640	15.61
42	689	16.40
43	688	16.00
44	667	15.16
45	661	14.69
46	660	14.35
47	665	14.15
48	684	14.25
49	853	17.41
50	697	13.94
51	703	13.78
52	716	13.77
53	727	13.72
54	735	13.61
55	753	13.69
56	947	16.91
57	779	13.67
58	789	13.60
59	788	13.36
60	805	13.42
61	809	13.26
62	968	15.61
63	834	13.24
64	852	13.31
65	942	14.49
66	1077	16.32
67	932	13.91
68	1406	20.68
69	1449	21.00
70	997	14.24
71	1011	14.24
72	992	13.78
73	1033	14.15
74	990	13.38
75	1018	13.57
76	1032	13.58
77	1263	16.40
78	1035	13.27
79	2585	32.72
80	1163	14.54
81	1082	13.36
82	1083	13.21
83	1131	13.63
84	1099	13.08
85	1108	13.04
86	1165	13.55
87	1145	13.16
88	1139	12.94
89	1145	12.87
90	1318	14.64
91	1172	12.88
92	1180	12.83
93	1205	12.96
94	1221	12.99
95	1463	15.40
96	1509	15.72
97	1246	12.85
98	1275	13.01
99	1256	12.69
100	1270	12.70
101	1286	12.73
102	1318	12.92
103	1577	15.31
104	1491	14.34
105	1330	12.67
106	1350	12.74
107	1351	12.63
108	1363	12.62
109	1384	12.70
110	1364	12.40
111	1384	12.47
112	1386	12.38
113	1398	12.37
114	1403	12.31
115	1420	12.35
116	1454	12.53
117	1466	12.53
118	1459	12.36
119	1481	12.45
120	1472	12.27
121	1478	12.21
122	1491	12.22
123	1505	12.24
124	1516	12.23
125	1528	12.22
126	1543	12.25
127	1547	12.18
128	1579	12.34
129	1654	12.82
130	1990	15.31
131	1729	13.20
132	1726	13.08
133	1758	13.22
134	1750	13.06
135	1711	12.67
136	1776	13.06
137	3354	24.48
138	1744	12.64
139	1775	12.77
140	1818	12.99
141	1844	13.08
142	1780	12.54
143	1795	12.55
144	1793	12.45
145	1819	12.54
146	1821	12.47
147	1830	12.45
148	1854	12.53
149	1849	12.41
150	1879	12.53
151	1887	12.50
152	1919	12.62
153	1895	12.39
154	1900	12.34
155	1913	12.34
156	2147	13.76
157	2083	13.27
158	1952	12.35
159	1962	12.34
160	1963	12.27
161	2009	12.48
162	1979	12.22
163	2050	12.58
164	2022	12.33
165	2162	13.10
166	2019	12.16
167	2034	12.18
168	2058	12.25
169	2062	12.20
170	2064	12.14
171	2075	12.13
172	2142	12.45
173	2319	13.40
174	2256	12.97
175	2111	12.06
176	2136	12.14
177	2344	13.24
178	2987	16.78
179	2162	12.08
180	2172	12.07
181	2183	12.06
182	2487	13.66
183	2208	12.07
184	2238	12.16
185	2225	12.03
186	2417	12.99
187	2257	12.07
188	2256	12.00
189	2274	12.03
190	2293	12.07
191	2611	13.67
192	2460	12.81
193	2312	11.98
194	2313	11.92
195	2347	12.04
196	2361	12.05
197	2351	11.93
198	2364	11.94
199	2418	12.15
200	2405	12.03
201	2397	11.93
202	2425	12.00
203	2614	12.88
204	2459	12.05
205	2440	11.90
206	2461	11.95
207	2498	12.07
208	2809	13.50
209	2683	12.84
210	2510	11.95
211	2652	12.57
212	2718	12.82
213	2526	11.86
214	2531	11.83
215	2597	12.08
216	2555	11.83
217	2571	11.85
218	2598	11.92
219	2803	12.80
220	2655	12.07
221	2654	12.01
222	2819	12.70
223	3075	13.79
224	2692	12.02
225	2695	11.98
226	2741	12.13
227	2722	11.99
228	2730	11.97
229	2919	12.75
230	3008	13.08
231	2765	11.97
232	2810	12.11
233	2828	12.14
234	2820	12.05
235	2812	11.97
236	2824	11.97
237	2874	12.13
238	2838	11.92
239	2847	11.91
240	2864	11.93
241	3044	12.63
242	2977	12.30
243	3275	13.48
244	3257	13.35
245	2913	11.89
246	2928	11.90
247	3532	14.30
248	2948	11.89
249	2976	11.95
250	2983	11.93
251	3045	12.13
252	3130	12.42
253	3000	11.86
254	3164	12.46
255	3033	11.89
256	3036	11.86
257	3711	14.44
258	3460	13.41
259	3169	12.24
260	3227	12.41
261	3222	12.34
262	3189	12.17
263	3191	12.13
264	3266	12.37
265	3225	12.17
266	3208	12.06
267	3421	12.81
268	3405	12.71
269	3272	12.16
270	3301	12.23
271	3251	12.00
272	3260	11.99
273	3473	12.72
274	3303	12.05
275	3326	12.09
276	3364	12.19
277	3326	12.01
278	3344	12.03
279	3374	12.09
280	3379	12.07
281	3363	11.97
282	3447	12.22
283	3692	13.05
284	3388	11.93
285	3458	12.13
286	3444	12.04
287	3445	12.00
288	3510	12.19
289	3481	12.04
290	3494	12.05
291	4514	15.51
292	3553	12.17
293	3534	12.06
294	3880	13.20
295	3562	12.07
296	3575	12.08
297	3612	12.16
298	3614	12.13
299	3645	12.19
300	3725	12.42
301	3686	12.25
302	3823	12.66
303	3705	12.23
304	3851	12.67
305	3965	13.00
306	3724	12.17
307	3907	12.73
308	3714	12.06
309	3720	12.04
310	3994	12.88
311	3764	12.10
312	3747	12.01
313	4170	13.32
314	3843	12.24
315	3825	12.14
316	4109	13.00
317	3814	12.03
318	4027	12.66
319	3835	12.02
320	3840	12.00
321	4187	13.04
322	3904	12.12
323	4031	12.48
324	3886	11.99
325	3893	11.98
326	4165	12.78
327	3911	11.96
328	3920	11.95
329	3945	11.99
330	3936	11.93
331	4249	12.84
332	4150	12.50
333	4006	12.03
334	5094	15.25
335	4051	12.09
336	4088	12.17
337	4235	12.57
338	4028	11.92
339	4075	12.02
340	4051	11.91
341	4353	12.77
342	4069	11.90
343	4069	11.86
344	4257	12.38
345	4131	11.97
346	4549	13.15
347	4134	11.91
348	4153	11.93
349	4185	11.99
350	4208	12.02
