N	Total Time	Average CPE
1	54	54.00
2	90	45.00
3	99	33.00
4	105	26.25
5	105	21.00
6	118	19.67
7	128	18.29
8	143	17.88
9	158	17.56
10	181	18.10
11	182	16.55
12	202	16.83
13	229	17.62
14	194	13.86
15	197	13.13
16	299	18.69
17	397	23.35
18	288	16.00
19	293	15.42
20	303	15.15
21	316	15.05
22	322	14.64
23	330	14.35
24	341	14.21
25	358	14.32
26	389	14.96
27	393	14.56
28	421	15.04
29	392	13.52
30	415	13.83
31	426	13.74
32	437	13.66
33	497	15.06
34	496	14.59
35	514	14.69
36	521	14.47
37	538	14.54
38	550	14.47
39	1016	26.05
40	559	13.97
41	541	13.20
42	570	13.57
43	574	13.35
44	584	13.27
45	596	13.24
46	611	13.28
47	866	18.43
48	633	13.19
49	635	12.96
50	638	12.76
51	660	12.94
52	643	12.37
53	680	12.83
54	689	12.76
55	682	12.40
56	2668	47.64
57	794	13.93
58	723	12.47
59	733	12.42
60	783	13.05
61	753	12.34
62	765	12.34
63	771	12.24
64	808	12.62
65	1094	16.83
66	845	12.80
67	858	12.81
68	876	12.88
69	893	12.94
70	911	13.01
71	880	12.39
72	1109	15.40
73	926	12.68
74	919	12.42
75	934	12.45
76	939	12.36
77	966	12.55
78	960	12.31
79	967	12.24
80	973	12.16
81	995	12.28
82	1004	12.24
83	1050	12.65
84	1016	12.10
85	1015	11.94
86	1032	12.00
87	1045	12.01
88	1062	12.07
89	1068	12.00
90	1072	11.91
91	1092	12.00
92	1094	11.89
93	1103	11.86
94	1106	11.77
95	1120	11.79
96	1129	11.76
97	1148	11.84
98	1157	11.81
99	1156	11.68
100	1337	13.37
101	1472	14.57
102	1407	13.79
103	1212	11.77
104	1214	11.67
105	1219	11.61
106	1242	11.72
107	1234	11.53
108	1248	11.56
109	1254	11.50
110	1270	11.55
111	1279	11.52
112	1294	11.55
113	1292	11.43
114	1299	11.39
115	1320	11.48
116	1345	11.59
117	1320	11.28
118	1348	11.42
119	1364	11.46
120	1636	13.63
121	1407	11.63
122	1389	11.39
123	1567	12.74
124	1394	11.24
125	1414	11.31
126	1443	11.45
127	3065	24.13
128	1443	11.27
129	1889	14.64
130	1500	11.54
131	1499	11.44
132	1523	11.54
133	1519	11.42
134	1560	11.64
135	1633	12.10
136	1565	11.51
137	1589	11.60
138	1581	11.46
139	1588	11.42
140	1604	11.46
141	1784	12.65
142	1648	11.61
143	1625	11.36
144	1631	11.33
145	1886	13.01
146	1618	11.08
147	1660	11.29
148	1672	11.30
149	1685	11.31
150	1690	11.27
151	1716	11.36
152	1712	11.26
153	1724	11.27
154	1778	11.55
155	1738	11.21
156	1762	11.29
157	1765	11.24
158	1770	11.20
159	1780	11.19
160	2060	12.88
161	1800	11.18
162	1813	11.19
163	1816	11.14
164	1820	11.10
165	1871	11.34
166	1844	11.11
167	1863	11.16
168	2164	12.88
169	1883	11.14
170	2011	11.83
171	1876	10.97
172	1902	11.06
173	2130	12.31
174	1922	11.05
175	1960	11.20
176	1942	11.03
177	1954	11.04
178	2290	12.87
