N	Total Time	Average CPE
1	308	308.00
2	62	31.00
3	154	51.33
4	89	22.25
5	172	34.40
6	313	52.17
7	258	36.86
8	454	56.75
9	345	38.33
10	342	34.20
11	336	30.55
12	593	49.42
13	450	34.62
14	488	34.86
15	501	33.40
16	457	28.56
17	491	28.88
18	623	34.61
19	688	36.21
20	744	37.20
21	497	23.67
22	507	23.05
23	613	26.65
24	521	21.71
25	602	24.08
26	648	24.92
27	629	23.30
28	824	29.43
29	997	34.38
30	911	30.37
31	1080	34.84
32	1086	33.94
33	1270	38.48
34	1151	33.85
35	493	14.09
36	499	13.86
37	530	14.32
38	537	14.13
39	560	14.36
40	689	17.23
41	535	13.05
42	538	12.81
43	575	13.37
44	848	19.27
45	1161	25.80
46	1069	23.24
47	1119	23.81
48	1052	21.92
49	892	18.20
50	643	12.86
51	671	13.16
52	736	14.15
53	685	12.92
54	698	12.93
55	1001	18.20
56	721	12.88
57	727	12.75
58	737	12.71
59	776	13.15
60	886	14.77
61	782	12.82
62	1165	18.79
63	1624	25.78
64	1874	29.28
65	1845	28.38
66	1786	27.06
67	1013	15.12
68	1157	17.01
69	1539	22.30
70	979	13.99
71	936	13.18
72	911	12.65
73	918	12.58
74	1124	15.19
75	941	12.55
76	959	12.62
77	964	12.52
78	974	12.49
79	1018	12.89
80	1146	14.32
81	1057	13.05
82	1434	17.49
83	2165	26.08
84	1798	21.40
85	1322	15.55
86	1093	12.71
87	1110	12.76
88	1123	12.76
89	1111	12.48
90	1154	12.82
91	1236	13.58
92	1174	12.76
93	1188	12.77
94	1175	12.50
95	1452	15.28
96	1210	12.60
97	1196	12.33
98	1216	12.41
99	1247	12.60
100	1717	17.17
101	1308	12.95
102	2166	21.24
103	2325	22.57
104	1724	16.58
105	1323	12.60
106	1332	12.57
107	1334	12.47
108	1340	12.41
109	1377	12.63
110	2312	21.02
111	1425	12.84
112	1400	12.50
113	1459	12.91
114	1402	12.30
115	1427	12.41
116	1456	12.55
117	1456	12.44
118	1971	16.70
119	1899	15.96
120	2196	18.30
121	2216	18.31
122	2964	24.30
123	2451	19.93
124	1562	12.60
125	1848	14.78
126	1952	15.49
127	2878	22.66
128	2218	17.33
129	1660	12.87
130	1863	14.33
131	1640	12.52
132	1718	13.02
133	1981	14.89
134	1660	12.39
135	1687	12.50
136	1665	12.24
137	1729	12.62
138	1722	12.48
139	1726	12.42
140	1891	13.51
141	2210	15.67
142	3330	23.45
143	2165	15.14
144	1861	12.92
145	2101	14.49
146	1819	12.46
147	1820	12.38
148	1835	12.40
149	1854	12.44
150	1859	12.39
151	1891	12.52
152	2147	14.12
153	1889	12.35
154	1990	12.92
155	1984	12.80
156	1934	12.40
157	1966	12.52
158	1988	12.58
159	1968	12.38
160	2161	13.51
161	2806	17.43
162	3415	21.08
163	2025	12.42
164	2037	12.42
165	2023	12.26
166	2359	14.21
167	2036	12.19
168	2442	14.54
169	7260	42.96
170	2387	14.04
171	2244	13.12
172	2129	12.38
173	2163	12.50
174	3250	18.68
175	2187	12.50
176	2926	16.62
177	4439	25.08
178	2699	15.16
179	2265	12.65
180	2540	14.11
181	3541	19.56
182	3465	19.04
183	2311	12.63
184	2309	12.55
185	2534	13.70
186	2292	12.32
187	2317	12.39
188	2631	13.99
189	2341	12.39
190	2468	12.99
191	3807	19.93
192	2392	12.46
193	2454	12.72
194	2403	12.39
195	2420	12.41
196	2409	12.29
197	2678	13.59
198	2463	12.44
199	2890	14.52
200	3078	15.39
201	4045	20.12
202	3631	17.98
203	2594	12.78
204	2819	13.82
205	2554	12.46
206	2555	12.40
207	2560	12.37
208	2593	12.47
209	2606	12.47
210	2611	12.43
211	2768	13.12
212	3419	16.13
213	2647	12.43
214	2981	13.93
215	2639	12.27
216	2685	12.43
217	2852	13.14
218	2708	12.42
219	2818	12.87
220	3235	14.70
221	4448	20.13
222	3387	15.26
223	2773	12.43
224	2811	12.55
225	3597	15.99
226	4571	20.23
227	2851	12.56
228	2848	12.49
229	2839	12.40
230	2840	12.35
231	4064	17.59
232	2900	12.50
233	3100	13.30
234	2930	12.52
235	2899	12.34
236	3017	12.78
237	3076	12.98
238	2971	12.48
239	2981	12.47
240	3501	14.59
241	5008	20.78
242	3679	15.20
243	2988	12.30
244	3025	12.40
245	3033	12.38
246	3047	12.39
247	3077	12.46
248	3035	12.24
249	3230	12.97
250	3399	13.60
251	5502	21.92
252	3129	12.42
253	3309	13.08
254	3127	12.31
255	3185	12.49
256	3234	12.63
257	3406	13.25
258	3381	13.10
259	3208	12.39
260	3734	14.36
261	5583	21.39
262	3288	12.55
263	3288	12.50
264	3289	12.46
265	3277	12.37
266	3298	12.40
267	3336	12.49
268	3593	13.41
269	3315	12.32
