N	Total Time	Average CPE
1	43	43.00
2	55	27.50
3	66	22.00
4	79	19.75
5	95	19.00
6	244	40.67
7	138	19.71
8	250	31.25
9	269	29.89
10	263	26.30
11	299	27.18
12	348	29.00
13	629	48.38
14	442	31.57
15	321	21.40
16	328	20.50
17	348	20.47
18	366	20.33
19	383	20.16
20	408	20.40
21	426	20.29
22	604	27.45
23	667	29.00
24	521	21.71
25	552	22.08
26	565	21.73
27	650	24.07
28	3943	140.82
29	638	22.00
30	665	22.17
31	669	21.58
32	693	21.66
33	710	21.52
34	734	21.59
35	756	21.60
36	778	21.61
37	805	21.76
38	833	21.92
39	849	21.77
40	854	21.35
41	874	21.32
42	907	21.60
43	919	21.37
44	987	22.43
45	963	21.40
46	997	21.67
47	1018	21.66
48	1034	21.54
49	1054	21.51
50	1079	21.58
51	1095	21.47
52	1589	30.56
53	1134	21.40
54	1173	21.72
55	1172	21.31
56	1273	22.73
57	1229	21.56
58	1292	22.28
59	1271	21.54
60	1288	21.47
61	1313	21.52
62	1332	21.48
63	1350	21.43
64	1371	21.42
65	1399	21.52
66	1406	21.30
67	1435	21.42
68	1466	21.56
69	1552	22.49
70	1651	23.59
71	1527	21.51
72	1547	21.49
73	1565	21.44
74	1700	22.97
75	1599	21.32
76	1628	21.42
77	1644	21.35
78	1772	22.72
79	2661	33.68
80	1716	21.45
81	1729	21.35
82	1747	21.30
83	1779	21.43
84	1797	21.39
85	1826	21.48
86	1842	21.42
87	2130	24.48
88	1878	21.34
89	1903	21.38
90	2290	25.44
91	1948	21.41
92	1969	21.40
93	1999	21.49
94	2054	21.85
95	2042	21.49
96	2594	27.02
97	2091	21.56
98	2438	24.88
99	3372	34.06
100	2563	25.63
101	3045	30.15
102	2180	21.37
103	2220	21.55
104	2217	21.32
105	2799	26.66
106	2255	21.27
107	3465	32.38
108	2318	21.46
109	2324	21.32
110	2355	21.41
111	2375	21.40
112	2400	21.43
113	2437	21.57
114	2427	21.29
115	2462	21.41
116	2485	21.42
117	2731	23.34
118	2516	21.32
119	2589	21.76
120	2564	21.37
121	2594	21.44
122	2916	23.90
123	2641	21.47
124	2694	21.73
125	2670	21.36
126	2693	21.37
127	2728	21.48
128	2744	21.44
129	2851	22.10
130	2813	21.64
131	2805	21.41
132	2833	21.46
133	2853	21.45
134	2879	21.49
135	2946	21.82
136	2919	21.46
137	2937	21.44
138	2952	21.39
139	2980	21.44
140	3028	21.63
141	3019	21.41
142	3039	21.40
143	3105	21.71
144	3146	21.85
145	3123	21.54
146	3121	21.38
147	3614	24.59
148	3171	21.43
149	6792	45.58
150	3341	22.27
151	3716	24.61
152	3769	24.80
