N	Total Time	Average CPE
1	273	273.00
2	250	125.00
3	265	88.33
4	300	75.00
5	507	101.40
6	585	97.50
7	541	77.29
8	862	107.75
9	793	88.11
10	827	82.70
11	1044	94.91
12	931	77.58
13	1177	90.54
14	1203	85.93
15	1472	98.13
16	1376	86.00
17	1462	86.00
18	1533	85.17
19	1764	92.84
20	1712	85.60
21	1337	63.67
22	1386	63.00
23	1446	62.87
24	1593	66.38
25	1649	65.96
26	1739	66.88
27	1700	62.96
28	1963	70.11
29	2244	77.38
30	2486	82.87
31	2797	90.23
32	2656	83.00
33	2677	81.12
34	2687	79.03
35	983	28.09
36	749	20.81
37	675	18.24
38	728	19.16
39	738	18.92
40	920	23.00
41	1525	37.20
42	2413	57.45
43	2419	56.26
44	2498	56.77
45	3256	72.36
46	3194	69.43
47	3437	73.13
48	3291	68.56
49	2084	42.53
50	891	17.82
51	881	17.27
52	864	16.62
53	965	18.21
54	1013	18.76
55	1018	18.51
56	1098	19.61
57	1379	24.19
58	979	16.88
59	1005	17.03
60	1264	21.07
61	3094	50.72
62	3464	55.87
63	3738	59.33
64	3874	60.53
65	3815	58.69
66	4002	60.64
67	1161	17.33
68	1155	16.99
69	1163	16.86
70	1236	17.66
71	1255	17.68
72	1494	20.75
73	1258	17.23
74	1271	17.18
75	1266	16.88
76	1297	17.07
77	1361	17.68
78	1327	17.01
79	1311	16.59
80	1549	19.36
81	4503	55.59
82	4651	56.72
83	4966	59.83
84	5066	60.31
85	2619	30.81
86	1514	17.60
87	1607	18.47
88	1744	19.82
89	1654	18.58
90	1541	17.12
91	1553	17.07
92	1653	17.97
93	1659	17.84
94	1587	16.88
95	1566	16.48
96	1610	16.77
97	1641	16.92
98	1735	17.70
99	1675	16.92
100	2631	26.31
101	6351	62.88
102	6046	59.27
103	7754	75.28
104	3641	35.01
105	1789	17.04
106	2248	21.21
107	1970	18.41
108	1921	17.79
109	1795	16.47
110	1929	17.54
111	1952	17.59
112	1900	16.96
113	1883	16.66
114	1940	17.02
115	1900	16.52
116	1931	16.65
117	1964	16.79
118	2099	17.79
119	1986	16.69
120	3070	25.58
121	7321	60.50
122	7316	59.97
123	6204	50.44
124	2004	16.16
125	3755	30.04
126	7148	56.73
127	9141	71.98
128	5313	41.51
129	2501	19.39
130	2470	19.00
131	2346	17.91
132	2249	17.04
133	2262	17.01
134	2305	17.20
135	2250	16.67
136	2296	16.88
137	2271	16.58
138	2280	16.52
139	2415	17.37
140	3824	27.31
141	8899	63.11
142	8191	57.68
143	4412	30.85
144	2602	18.07
145	2762	19.05
146	2520	17.26
147	2483	16.89
148	2533	17.11
149	2594	17.41
150	2494	16.63
151	2922	19.35
152	2524	16.61
153	2557	16.71
154	2625	17.05
155	2561	16.52
156	2615	16.76
157	2834	18.05
158	2599	16.45
159	2668	16.78
160	4551	28.44
161	9656	59.98
162	9332	57.60
163	2671	16.39
164	3134	19.11
165	2796	16.95
166	2717	16.37
167	2831	16.95
168	2920	17.38
169	2813	16.64
170	2832	16.66
171	2801	16.38
172	2843	16.53
173	2895	16.73
174	2898	16.66
175	2881	16.46
176	8613	48.94
177	10514	59.40
178	5407	30.38
179	2993	16.72
180	5384	29.91
181	10616	58.65
182	8585	47.17
183	3123	17.07
184	3493	18.98
185	3111	16.82
186	3361	18.07
187	3097	16.56
188	3178	16.90
189	3138	16.60
190	3651	19.22
191	3110	16.28
192	3197	16.65
193	3236	16.77
194	3223	16.61
195	3516	18.03
196	3196	16.31
197	3338	16.94
198	3269	16.51
199	3365	16.91
200	6316	31.58
201	12659	62.98
202	7760	38.42
203	3465	17.07
204	3400	16.67
205	3439	16.78
206	3366	16.34
207	3417	16.51
208	3498	16.82
209	3484	16.67
210	3469	16.52
211	3933	18.64
212	3564	16.81
213	3551	16.67
214	3784	17.68
215	3546	16.49
216	3592	16.63
217	3839	17.69
218	3565	16.35
219	3592	16.40
220	6682	30.37
221	13357	60.44
222	6496	29.26
223	3757	16.85
224	3671	16.39
225	11248	49.99
226	11107	49.15
227	4045	17.82
228	3794	16.64
229	4041	17.65
230	3802	16.53
231	3799	16.45
232	3845	16.57
233	3899	16.73
234	4050	17.31
235	3893	16.57
236	4047	17.15
237	3927	16.57
238	4009	16.84
239	3879	16.23
240	7595	31.65
241	14302	59.34
242	6922	28.60
243	4215	17.35
244	4293	17.59
245	4071	16.62
246	4265	17.34
247	4097	16.59
248	4078	16.44
249	4127	16.57
250	10461	41.84
251	13626	54.29
252	4304	17.08
253	4510	17.83
254	4292	16.90
255	4224	16.56
256	4545	17.75
257	4283	16.67
258	4311	16.71
259	4376	16.90
260	8260	31.77
261	15361	58.85
262	4717	18.00
263	4472	17.00
264	4407	16.69
265	4876	18.40
266	4423	16.63
267	4426	16.58
268	4426	16.51
269	4405	16.38
270	4544	16.83
271	4837	17.85
272	4567	16.79
273	4662	17.08
274	4587	16.74
275	4814	17.51
276	4583	16.61
277	4594	16.58
278	4883	17.56
279	4609	16.52
280	9725	34.73
281	16248	57.82
282	4793	17.00
283	4728	16.71
284	4772	16.80
285	4824	16.93
286	4982	17.42
287	4793	16.70
288	4805	16.68
289	4743	16.41
290	4831	16.66
291	4882	16.78
292	5018	17.18
293	4865	16.60
294	4885	16.62
295	5214	17.67
296	4929	16.65
297	4986	16.79
298	5198	17.44
299	4959	16.59
300	14146	47.15
301	17698	58.80
302	5864	19.42
303	5262	17.37
304	5433	17.87
305	5330	17.48
306	5136	16.78
307	5160	16.81
308	5363	17.41
309	5167	16.72
310	5167	16.67
311	5447	17.51
312	5879	18.84
313	5175	16.53
314	5463	17.40
315	5277	16.75
316	5273	16.69
317	5165	16.29
318	5301	16.67
319	5304	16.63
320	10601	33.13
321	16204	50.48
322	5395	16.75
323	5358	16.59
324	5352	16.52
325	5493	16.90
326	6011	18.44
327	5783	17.69
328	5431	16.56
329	5468	16.62
330	5490	16.64
331	5462	16.50
332	5970	17.98
333	5530	16.61
334	5502	16.47
335	5488	16.38
336	5598	16.66
337	5598	16.61
338	5665	16.76
339	5657	16.69
340	11475	33.75
341	15717	46.09
342	5796	16.95
343	5711	16.65
344	5727	16.65
345	5761	16.70
346	5740	16.59
347	5837	16.82
348	5766	16.57
349	6245	17.89
350	5831	16.66
351	5806	16.54
352	5772	16.40
353	6434	18.23
354	6081	17.18
355	5840	16.45
356	6183	17.37
357	5872	16.45
358	6005	16.77
359	6384	17.78
360	12222	33.95
361	17759	49.19
362	6178	17.07
363	6423	17.69
364	6063	16.66
365	6046	16.56
366	6148	16.80
367	6468	17.62
368	6040	16.41
369	6175	16.73
370	6105	16.50
371	6791	18.30
372	6109	16.42
373	6199	16.62
374	6666	17.82
375	18370	48.99
376	10883	28.94
377	6383	16.93
378	6280	16.61
379	6333	16.71
380	13834	36.41
381	18849	49.47
382	6781	17.75
383	6909	18.04
384	7002	18.23
385	6735	17.49
386	6345	16.44
387	6403	16.55
388	6615	17.05
389	6616	17.01
390	6886	17.66
391	6688	17.10
392	6528	16.65
393	6474	16.47
394	6484	16.46
395	6792	17.19
396	7252	18.31
397	7024	17.69
398	6616	16.62
399	7668	19.22
400	14579	36.45
401	16149	40.27
402	6854	17.05
403	7020	17.42
404	7112	17.60
405	6691	16.52
406	6970	17.17
407	7069	17.37
408	6796	16.66
409	7058	17.26
410	7026	17.14
411	7044	17.14
412	6793	16.49
413	6808	16.48
414	6836	16.51
415	7150	17.23
416	6772	16.28
417	6870	16.47
418	6845	16.38
419	7176	17.13
420	18089	43.07
421	16183	38.44
422	7526	17.83
423	7074	16.72
424	7051	16.63
425	7525	17.71
426	7061	16.58
427	7499	17.56
428	7161	16.73
429	7137	16.64
430	7006	16.29
431	7106	16.49
432	7083	16.40
433	7245	16.73
434	7093	16.34
435	7140	16.41
436	7182	16.47
437	7509	17.18
438	7684	17.54
439	7468	17.01
440	15575	35.40
441	16213	36.76
442	7341	16.61
443	7352	16.60
444	7554	17.01
445	7580	17.03
446	7270	16.30
447	7352	16.45
448	7729	17.25
449	7465	16.63
450	7412	16.47
451	7401	16.41
452	7771	17.19
453	7431	16.40
454	7417	16.34
455	7412	16.29
456	7546	16.55
457	7660	16.76
458	7559	16.50
459	7572	16.50
460	16884	36.70
461	15328	33.25
462	7753	16.78
463	8406	18.16
464	7581	16.34
465	7546	16.23
466	7676	16.47
467	7636	16.35
468	8017	17.13
469	7924	16.90
470	8092	17.22
471	7773	16.50
472	7816	16.56
473	7998	16.91
474	8172	17.24
475	7928	16.69
476	8215	17.26
477	7811	16.38
478	8518	17.82
479	8721	18.21
480	17535	36.53
481	15754	32.75
482	8605	17.85
483	7895	16.35
484	7986	16.50
485	8073	16.65
486	8278	17.03
487	8408	17.26
488	7993	16.38
489	8320	17.01
490	8021	16.37
491	8033	16.36
492	8130	16.52
493	8034	16.30
494	8183	16.56
495	8200	16.57
496	8240	16.61
497	8375	16.85
498	8427	16.92
499	9401	18.84
500	16144	32.29
501	17928	35.78
502	8498	16.93
503	8649	17.19
504	8390	16.65
505	8294	16.42
506	8392	16.58
507	8422	16.61
508	8321	16.38
509	14935	29.34
510	15888	31.15
511	9259	18.12
512	8455	16.51
513	8632	16.83
514	9756	18.98
515	8895	17.27
516	8803	17.06
517	8551	16.54
518	8601	16.60
519	8776	16.91
520	19718	37.92
521	15305	29.38
522	8714	16.69
523	8684	16.60
524	8952	17.08
525	8601	16.38
526	8972	17.06
527	8690	16.49
528	8653	16.39
529	8697	16.44
530	9335	17.61
531	8926	16.81
532	8776	16.50
533	9100	17.07
534	9020	16.89
535	8942	16.71
536	9472	17.67
537	9044	16.84
538	8797	16.35
539	9028	16.75
540	20177	37.36
541	16242	30.02
542	9105	16.80
543	8895	16.38
544	8877	16.32
545	9285	17.04
546	8985	16.46
547	8965	16.39
548	9267	16.91
549	8998	16.39
550	9103	16.55
551	9291	16.86
552	9816	17.78
553	9831	17.78
554	9085	16.40
555	9441	17.01
556	9387	16.88
557	9141	16.41
558	9361	16.78
559	9425	16.86
560	21123	37.72
561	15521	27.67
562	9332	16.60
563	10458	18.58
564	9230	16.37
565	9710	17.19
566	9309	16.45
567	9275	16.36
568	10075	17.74
569	9378	16.48
570	9744	17.09
571	9640	16.88
572	9859	17.24
573	9815	17.13
574	9650	16.81
575	9797	17.04
576	26992	46.86
577	11162	19.34
578	9546	16.52
579	9805	16.93
580	20546	35.42
581	14644	25.20
582	9651	16.58
583	10072	17.28
584	10116	17.32
585	9708	16.59
586	10175	17.36
587	9625	16.40
588	9965	16.95
589	10198	17.31
590	9849	16.69
591	9756	16.51
592	10138	17.12
593	9747	16.44
594	10175	17.13
595	9736	16.36
596	10435	17.51
597	10258	17.18
598	10813	18.08
599	9937	16.59
600	22769	37.95
601	15005	24.97
602	9978	16.57
603	10022	16.62
604	10185	16.86
605	9996	16.52
606	10313	17.02
607	10271	16.92
608	10035	16.50
609	10024	16.46
610	10033	16.45
611	10331	16.91
612	10549	17.24
613	10186	16.62
614	10211	16.63
615	10096	16.42
616	10529	17.09
617	10152	16.45
618	10410	16.84
619	10152	16.40
620	23256	37.51
621	14167	22.81
622	10168	16.35
623	10511	16.87
624	10470	16.78
625	18004	28.81
626	19712	31.49
627	11070	17.66
628	10858	17.29
629	10372	16.49
630	10454	16.59
631	10420	16.51
632	11168	17.67
633	11792	18.63
634	10720	16.91
635	10409	16.39
636	11490	18.07
637	10756	16.89
638	10758	16.86
639	10645	16.66
640	25120	39.25
641	14443	22.53
642	11052	17.21
643	10549	16.41
644	10925	16.96
645	12959	20.09
646	11536	17.86
647	10970	16.96
648	11782	18.18
649	10931	16.84
650	10792	16.60
651	11122	17.08
652	11344	17.40
653	11128	17.04
654	11064	16.92
655	11112	16.96
656	11403	17.38
657	10943	16.66
658	11042	16.78
659	11022	16.73
660	25512	38.65
661	14164	21.43
662	11256	17.00
663	11125	16.78
664	11273	16.98
665	11219	16.87
666	15744	23.64
667	11224	16.83
668	11270	16.87
669	11970	17.89
670	11343	16.93
671	11374	16.95
672	11395	16.96
673	11434	16.99
674	11311	16.78
675	11180	16.56
676	14553	21.53
677	11105	16.40
678	11314	16.69
679	11473	16.90
680	26083	38.36
681	14203	20.86
682	11824	17.34
683	11775	17.24
684	11731	17.15
685	11886	17.35
686	11347	16.54
687	11308	16.46
688	11732	17.05
689	11433	16.59
690	11652	16.89
691	11398	16.49
692	11907	17.21
693	11965	17.27
694	11623	16.75
695	11719	16.86
696	12282	17.65
697	11474	16.46
698	11622	16.65
699	11708	16.75
700	26945	38.49
701	13734	19.59
702	12119	17.26
703	11517	16.38
704	11580	16.45
705	11617	16.48
706	11954	16.93
707	11809	16.70
708	12285	17.35
709	11967	16.88
710	11657	16.42
711	12219	17.19
712	11824	16.61
713	11869	16.65
714	11783	16.50
715	12798	17.90
716	11855	16.56
717	11785	16.44
718	11912	16.59
719	11890	16.54
720	27092	37.63
721	14101	19.56
722	12898	17.86
723	12047	16.66
724	12178	16.82
725	12564	17.33
726	12202	16.81
727	12964	17.83
728	12589	17.29
729	12130	16.64
730	13490	18.48
731	12003	16.42
732	12031	16.44
733	12391	16.90
734	12547	17.09
735	12370	16.83
736	12246	16.64
737	12466	16.91
738	12428	16.84
739	12781	17.29
740	28524	38.55
741	13775	18.59
742	12505	16.85
743	12523	16.85
744	12570	16.90
745	12678	17.02
746	12405	16.63
747	12295	16.46
748	13513	18.07
749	12859	17.17
750	21435	28.58
751	21052	28.03
752	12327	16.39
753	12828	17.04
754	12428	16.48
755	12749	16.89
756	13667	18.08
757	12674	16.74
758	12675	16.72
759	13213	17.41
760	28734	37.81
761	13492	17.73
762	12948	16.99
763	12721	16.67
764	14546	19.04
765	12887	16.85
766	13086	17.08
767	13623	17.76
768	14434	18.79
769	12623	16.41
770	12973	16.85
771	12814	16.62
772	12901	16.71
773	13186	17.06
774	12830	16.58
775	12647	16.32
776	13015	16.77
777	12804	16.48
778	13145	16.90
779	12858	16.51
780	29408	37.70
781	13721	17.57
782	13390	17.12
783	12991	16.59
784	12862	16.41
785	12894	16.43
786	12931	16.45
787	12865	16.35
788	13225	16.78
789	13050	16.54
790	12914	16.35
791	18057	22.83
792	13060	16.49
793	14022	17.68
794	13289	16.74
795	13020	16.38
796	14179	17.81
797	13435	16.86
798	13387	16.78
799	13183	16.50
800	46259	57.82
801	29466	36.79
802	13477	16.80
803	13254	16.51
804	13321	16.57
805	14233	17.68
806	13874	17.21
807	13874	17.19
808	13768	17.04
809	13795	17.05
810	13434	16.59
811	13860	17.09
812	14180	17.46
813	13736	16.90
814	14148	17.38
815	14229	17.46
816	14402	17.65
817	19430	23.78
818	13569	16.59
819	15710	19.18
820	30620	37.34
821	13618	16.59
822	13633	16.59
823	13497	16.40
824	13869	16.83
