N	Total Time	Average CPE
1	227	227.00
2	47	23.50
3	140	46.67
4	75	18.75
5	152	30.40
6	242	40.33
7	185	26.43
8	329	41.12
9	271	30.11
10	432	43.20
11	388	35.27
12	496	41.33
13	442	34.00
14	541	38.64
15	582	38.80
16	572	35.75
17	557	32.76
18	656	36.44
19	761	40.05
20	764	38.20
21	574	27.33
22	604	27.45
23	695	30.22
24	3646	151.92
25	695	27.80
26	1139	43.81
27	729	27.00
28	906	32.36
29	1081	37.28
30	1027	34.23
31	1085	35.00
32	1136	35.50
33	1163	35.24
34	1239	36.44
35	584	16.69
36	641	17.81
37	653	17.65
38	664	17.47
39	625	16.03
40	781	19.52
41	658	16.05
42	665	15.83
43	676	15.72
44	1224	27.82
45	1375	30.56
46	1582	34.39
47	1318	28.04
48	1240	25.83
49	1028	20.98
50	796	15.92
51	824	16.16
52	841	16.17
53	881	16.62
54	860	15.93
55	863	15.69
56	2360	42.14
57	894	15.68
58	952	16.41
59	921	15.61
60	1130	18.83
61	957	15.69
62	1292	20.84
63	1583	25.13
64	1671	26.11
65	1735	26.69
66	1662	25.18
67	1058	15.79
68	1069	15.72
69	1078	15.62
70	1123	16.04
71	1102	15.52
72	1132	15.72
73	1153	15.79
74	1162	15.70
75	1180	15.73
76	1182	15.55
77	1209	15.70
78	1202	15.41
79	1254	15.87
80	1382	17.27
81	1261	15.57
82	1706	20.80
83	2178	26.24
84	2309	27.49
85	1636	19.25
86	1331	15.48
87	1385	15.92
88	1347	15.31
89	1420	15.96
90	1397	15.52
91	1398	15.36
92	1431	15.55
93	1429	15.37
94	1616	17.19
95	1455	15.32
96	1486	15.48
97	1485	15.31
98	1499	15.30
99	1562	15.78
100	1847	18.47
101	1567	15.51
102	2669	26.17
103	2651	25.74
104	2116	20.35
105	1641	15.63
106	1686	15.91
107	1653	15.45
108	1669	15.45
109	1663	15.26
110	1698	15.44
111	1735	15.63
112	1713	15.29
113	1762	15.59
114	1781	15.62
115	1863	16.20
116	1805	15.56
117	1843	15.75
118	1811	15.35
119	2005	16.85
120	2354	19.62
121	2036	16.83
122	3745	30.70
123	3037	24.69
124	1917	15.46
125	2039	16.31
126	2650	21.03
127	3279	25.82
128	2693	21.04
129	1989	15.42
130	2243	17.25
131	2001	15.27
132	2178	16.50
133	2044	15.37
134	2094	15.63
135	2097	15.53
136	2109	15.51
137	2070	15.11
138	2150	15.58
139	2121	15.26
140	2388	17.06
141	2698	19.13
142	3674	25.87
143	2617	18.30
144	2185	15.17
145	2235	15.41
146	2236	15.32
147	2244	15.27
148	2279	15.40
149	2259	15.16
150	2329	15.53
151	2295	15.20
152	2306	15.17
153	2344	15.32
154	2355	15.29
155	3497	22.56
156	2375	15.22
157	2678	17.06
158	2398	15.18
159	2628	16.53
160	2963	18.52
161	4146	25.75
162	4396	27.14
163	2744	16.83
164	2575	15.70
