N	Total Time	Average CPE
1	81	81.00
2	101	50.50
3	132	44.00
4	148	37.00
5	150	30.00
6	192	32.00
7	134	19.14
8	139	17.38
9	154	17.11
10	162	16.20
11	173	15.73
12	182	15.17
13	193	14.85
14	205	14.64
15	216	14.40
16	225	14.06
17	336	19.76
18	339	18.83
19	381	20.05
20	358	17.90
21	373	17.76
22	388	17.64
23	401	17.43
24	416	17.33
25	480	19.20
26	463	17.81
27	465	17.22
28	538	19.21
29	608	20.97
30	617	20.57
31	590	19.03
32	607	18.97
33	609	18.45
34	621	18.26
35	633	18.09
36	648	18.00
37	667	18.03
38	822	21.63
39	701	17.97
40	720	18.00
41	744	18.15
42	762	18.14
43	783	18.21
44	845	19.20
45	880	19.56
46	900	19.57
47	922	19.62
48	3812	79.42
49	4266	87.06
50	2959	59.18
51	1004	19.69
52	1060	20.38
53	1044	19.70
54	1066	19.74
55	1086	19.75
56	1105	19.73
57	1131	19.84
58	1158	19.97
59	1200	20.34
60	1188	19.80
61	1446	23.70
62	1232	19.87
63	1251	19.86
64	1736	27.12
65	1600	24.62
66	1313	19.89
67	1324	19.76
68	1343	19.75
69	1419	20.57
70	1384	19.77
71	1416	19.94
72	1442	20.03
73	1466	20.08
74	1494	20.19
75	1529	20.39
76	1648	21.68
77	1617	21.00
78	1625	20.83
79	1653	20.92
80	1681	21.01
81	1703	21.02
82	1765	21.52
83	1754	21.13
84	1833	21.82
85	1802	21.20
86	1834	21.33
87	1865	21.44
88	1880	21.36
89	1909	21.45
90	1934	21.49
91	1960	21.54
92	2165	23.53
93	3026	32.54
94	2027	21.56
95	2052	21.60
96	2170	22.60
97	2121	21.87
98	2152	21.96
99	3432	34.67
100	2204	22.04
101	2407	23.83
102	2227	21.83
103	5918	57.46
104	5704	54.85
105	2333	22.22
106	2335	22.03
107	2467	23.06
108	2614	24.20
109	2641	24.23
110	2657	24.15
111	3515	31.67
112	2571	22.96
113	2567	22.72
114	2651	23.25
115	2636	22.92
116	2651	22.85
117	2721	23.26
118	2713	22.99
119	2950	24.79
120	3751	31.26
121	2800	23.14
122	2880	23.61
123	2900	23.58
124	2890	23.31
125	3037	24.30
126	2952	23.43
127	2976	23.43
128	3019	23.59
129	4638	35.95
130	3248	24.98
131	3328	25.40
132	3367	25.51
133	5050	37.97
134	3373	25.17
135	3738	27.69
136	4591	33.76
137	3474	25.36
138	3566	25.84
139	3576	25.73
140	3585	25.61
141	3614	25.63
142	3659	25.77
143	4615	32.27
144	3757	26.09
145	3843	26.50
146	3844	26.33
147	3860	26.26
148	3889	26.28
149	4250	28.52
150	5102	34.01
151	4139	27.41
152	4058	26.70
153	4214	27.54
154	4237	27.51
155	4337	27.98
156	5307	34.02
157	4207	26.80
158	4873	30.84
159	5292	33.28
160	4531	28.32
161	4366	27.12
162	4419	27.28
163	4421	27.12
164	4494	27.40
165	4480	27.15
166	4507	27.15
167	4753	28.46
168	4607	27.42
169	4608	27.27
170	4931	29.01
171	4682	27.38
