N	Total Time	Average CPE
1	67	67.00
2	70	35.00
3	86	28.67
4	99	24.75
5	120	24.00
6	140	23.33
7	157	22.43
8	178	22.25
9	199	22.11
10	218	21.80
11	249	22.64
12	270	22.50
13	307	23.62
14	342	24.43
15	385	25.67
16	413	25.81
17	524	30.82
18	541	30.06
19	565	29.74
20	604	30.20
21	644	30.67
22	691	31.41
23	834	36.26
24	771	32.12
25	852	34.08
26	912	35.08
27	3531	130.78
28	1226	43.79
29	1677	57.83
30	1512	50.40
31	1196	38.58
32	1271	39.72
33	1364	41.33
34	1417	41.68
35	1992	56.91
36	1632	45.33
37	1702	46.00
38	1959	51.55
39	1836	47.08
40	2093	52.33
41	1973	48.12
42	2034	48.43
43	2157	50.16
44	2212	50.27
45	2284	50.76
46	2354	51.17
47	2409	51.26
48	2541	52.94
49	3233	65.98
50	2681	53.62
51	3135	61.47
52	2887	55.52
53	2979	56.21
54	3369	62.39
55	3310	60.18
56	3276	58.50
57	3325	58.33
58	3663	63.16
59	4030	68.31
60	3605	60.08
61	3959	64.90
62	4143	66.82
63	3958	62.83
64	4197	65.58
65	4288	65.97
66	4340	65.76
67	4927	73.54
68	4727	69.51
69	4919	71.29
70	4801	68.59
71	5939	83.65
72	5008	69.56
73	5287	72.42
74	5640	76.22
75	5504	73.39
76	5486	72.18
77	5676	73.71
78	5887	75.47
79	5792	73.32
80	6127	76.59
81	6032	74.47
82	6126	74.71
83	6657	80.20
84	6374	75.88
85	6879	80.93
86	6970	81.05
87	6609	75.97
88	6993	79.47
89	6923	77.79
90	7470	83.00
91	7330	80.55
92	7976	86.70
93	7523	80.89
94	8011	85.22
95	7897	83.13
96	8163	85.03
97	8363	86.22
98	8082	82.47
99	8787	88.76
100	8374	83.74
101	8852	87.64
102	9006	88.29
103	9854	95.67
104	8877	85.36
105	9061	86.30
106	9548	90.08
107	9433	88.16
108	10475	96.99
109	9520	87.34
110	10445	94.95
111	9780	88.11
112	9956	88.89
113	9393	83.12
114	9384	82.32
115	9411	81.83
116	9899	85.34
117	10060	85.98
118	9566	81.07
119	9700	81.51
120	10364	86.37
121	10341	85.46
122	10705	87.75
123	10133	82.38
124	10806	87.15
125	10429	83.43
126	10607	84.18
127	11433	90.02
128	10955	85.59
129	11347	87.96
130	11481	88.32
131	11410	87.10
132	11839	89.69
133	12009	90.29
134	11860	88.51
135	12872	95.35
136	12256	90.12
137	12096	88.29
138	12947	93.82
139	12999	93.52
140	12498	89.27
141	12780	90.64
142	13512	95.15
143	13076	91.44
144	13518	93.88
