N	Total Time	Average CPE
1	64	64.00
2	72	36.00
3	109	36.33
4	169	42.25
5	169	33.80
6	208	34.67
7	233	33.29
8	238	29.75
9	269	29.89
10	299	29.90
11	334	30.36
12	359	29.92
13	236	18.15
14	312	22.29
15	490	32.67
16	509	31.81
17	921	54.18
18	699	38.83
19	619	32.58
20	413	20.65
21	428	20.38
22	446	20.27
23	465	20.22
24	483	20.12
25	502	20.08
26	546	21.00
27	708	26.22
28	664	23.71
29	590	20.34
30	609	20.30
31	626	20.19
32	642	20.06
33	689	20.88
34	875	25.74
35	718	20.51
36	747	20.75
37	763	20.62
38	790	20.79
39	815	20.90
40	834	20.85
41	861	21.00
42	913	21.74
43	934	21.72
44	954	21.68
45	980	21.78
46	1062	23.09
47	1018	21.66
48	1053	21.94
49	1080	22.04
50	1092	21.84
51	1113	21.82
52	1154	22.19
53	1159	21.87
54	1183	21.91
55	1202	21.85
56	1227	21.91
57	1445	25.35
58	1263	21.78
59	1296	21.97
60	1327	22.12
61	3755	61.56
62	1421	22.92
63	1381	21.92
64	1402	21.91
65	1780	27.38
66	1484	22.48
67	1488	22.21
68	1539	22.63
69	1741	25.23
70	1582	22.60
71	1621	22.83
72	1660	23.06
73	1842	25.23
74	1717	23.20
75	1759	23.45
76	1802	23.71
77	1837	23.86
78	1856	23.79
79	1891	23.94
80	1970	24.62
81	1958	24.17
82	1972	24.05
83	2286	27.54
84	2057	24.49
85	2074	24.40
86	2107	24.50
87	2343	26.93
88	2312	26.27
89	2209	24.82
90	2227	24.74
91	2266	24.90
92	2320	25.22
93	2372	25.51
94	2354	25.04
95	2637	27.76
96	2421	25.22
97	2596	26.76
98	3030	30.92
99	2523	25.48
100	3082	30.82
101	3015	29.85
102	2622	25.71
103	2687	26.09
104	2948	28.35
105	2723	25.93
106	2758	26.02
107	2812	26.28
108	2850	26.39
109	2894	26.55
110	3876	35.24
111	2958	26.65
112	3027	27.03
113	3040	26.90
114	3378	29.63
115	3109	27.03
116	3140	27.07
117	3176	27.15
118	3203	27.14
119	3228	27.13
120	3283	27.36
121	3365	27.81
122	3649	29.91
123	3592	29.20
124	3429	27.65
125	3740	29.92
126	3513	27.88
127	3551	27.96
128	3566	27.86
129	4009	31.08
130	3963	30.48
131	3644	27.82
132	3679	27.87
133	4213	31.68
134	4168	31.10
135	3806	28.19
136	3855	28.35
137	4310	31.46
138	3915	28.37
139	3973	28.58
140	4798	34.27
141	5121	36.32
142	4101	28.88
143	4188	29.29
144	4193	29.12
145	4231	29.18
146	4259	29.17
147	4488	30.53
148	4351	29.40
149	4872	32.70
150	4485	29.90
151	4751	31.46
152	4511	29.68
153	4735	30.95
154	4602	29.88
155	4641	29.94
156	4700	30.13
157	5157	32.85
158	4762	30.14
159	5057	31.81
160	4989	31.18
161	4885	30.34
162	4969	30.67
163	5219	32.02
164	5002	30.50
165	5387	32.65
166	6072	36.58
167	5165	30.93
168	5439	32.38
169	5193	30.73
170	5403	31.78
171	5294	30.96
172	5325	30.96
173	5409	31.27
174	5437	31.25
175	5652	32.30
176	5533	31.44
177	5569	31.46
178	5668	31.84
179	5943	33.20
180	5701	31.67
181	5931	32.77
182	5792	31.82
183	5870	32.08
184	5883	31.97
185	6082	32.88
186	6305	33.90
187	7182	38.41
188	6099	32.44
189	6388	33.80
190	6320	33.26
191	6197	32.45
192	6688	34.83
193	6632	34.36
194	6324	32.60
195	6526	33.47
196	6545	33.39
197	6979	35.43
198	6893	34.81
199	6545	32.89
200	9993	49.97
201	6686	33.26
202	7011	34.71
203	6874	33.86
204	7478	36.66
205	6859	33.46
206	7174	34.83
207	6912	33.39
208	7172	34.48
209	7020	33.59
210	7569	36.04
211	7116	33.73
212	7331	34.58
213	7203	33.82
214	7294	34.08
215	7306	33.98
216	7660	35.46
217	7402	34.11
218	7726	35.44
219	8013	36.59
220	7696	34.98
221	8585	38.85
222	7679	34.59
223	7677	34.43
224	7903	35.28
225	7822	34.76
226	8076	35.73
227	8013	35.30
228	7918	34.73
229	8009	34.97
230	8211	35.70
231	8240	35.67
232	8102	34.92
233	8179	35.10
234	8456	36.14
235	8247	35.09
236	9091	38.52
237	8408	35.48
238	8596	36.12
239	8465	35.42
240	8562	35.67
241	8809	36.55
242	8614	35.60
243	8663	35.65
244	9001	36.89
245	8930	36.45
246	8806	35.80
247	8903	36.04
248	9219	37.17
249	9060	36.39
250	9184	36.74
251	9378	37.36
252	9295	36.88
253	9184	36.30
254	9502	37.41
255	9488	37.21
256	9352	36.53
257	9828	38.24
258	9603	37.22
259	9485	36.62
260	9575	36.83
261	9936	38.07
262	10292	39.28
263	9757	37.10
264	9763	36.98
265	10136	38.25
266	10082	37.90
267	9917	37.14
268	10136	37.82
269	10093	37.52
270	10110	37.44
271	10499	38.74
272	10248	37.68
273	10544	38.62
274	10603	38.70
275	10837	39.41
276	10764	39.00
277	10654	38.46
278	10565	38.00
279	10831	38.82
280	10888	38.89
281	10736	38.21
282	10911	38.69
283	10793	38.14
284	10886	38.33
285	11045	38.75
286	11439	40.00
287	11417	39.78
288	11346	39.40
289	11244	38.91
290	11573	39.91
291	11357	39.03
292	11305	38.72
293	12301	41.98
294	11367	38.66
295	11712	39.70
296	11646	39.34
297	12003	40.41
298	11833	39.71
299	11638	38.92
300	12832	42.77
301	11930	39.63
302	12295	40.71
303	30992	102.28
304	14528	47.79
305	12452	40.83
306	12423	40.60
307	13039	42.47
308	12530	40.68
309	12811	41.46
310	12471	40.23
311	12901	41.48
312	12848	41.18
313	13189	42.14
314	12751	40.61
315	13100	41.59
316	13477	42.65
317	12848	40.53
318	12770	40.16
319	13076	40.99
320	12997	40.62
321	13164	41.01
322	13146	40.83
323	13039	40.37
324	13471	41.58
325	14090	43.35
326	14444	44.31
327	17491	53.49
328	13344	40.68
329	13515	41.08
330	13777	41.75
331	13527	40.87
332	13639	41.08
333	13942	41.87
334	14609	43.74
335	14039	41.91
336	13852	41.23
337	13895	41.23
338	13951	41.28
339	14796	43.65
340	16049	47.20
341	14159	41.52
342	14342	41.94
343	15559	45.36
344	14621	42.50
345	14413	41.78
346	14621	42.26
347	14565	41.97
348	14544	41.79
349	14730	42.21
350	15146	43.27
351	15459	44.04
352	15148	43.03
353	15008	42.52
354	15355	43.38
355	15148	42.67
356	15065	42.32
357	15240	42.69
358	15342	42.85
359	15572	43.38
360	15783	43.84
361	15443	42.78
362	15671	43.29
363	15605	42.99
364	15820	43.46
365	15574	42.67
366	15663	42.80
367	15929	43.40
368	16386	44.53
369	15844	42.94
370	16175	43.72
371	16088	43.36
372	16282	43.77
373	16073	43.09
374	16185	43.28
375	16701	44.54
376	16643	44.26
377	16467	43.68
378	16757	44.33
379	16601	43.80
380	16942	44.58
381	16578	43.51
382	16923	44.30
383	17197	44.90
384	17103	44.54
385	16841	43.74
386	17356	44.96
387	17010	43.95
388	17191	44.31
389	17392	44.71
390	17299	44.36
391	18937	48.43
392	17974	45.85
393	18203	46.32
394	17554	44.55
395	17503	44.31
396	17578	44.39
397	18035	45.43
398	17711	44.50
399	17981	45.07
400	18942	47.35
401	18051	45.01
402	18317	45.56
403	18166	45.08
404	18567	45.96
405	19124	47.22
406	18336	45.16
407	18534	45.54
408	19690	48.26
409	18784	45.93
410	18547	45.24
411	18668	45.42
412	18646	45.26
413	18642	45.14
414	18994	45.88
415	20954	50.49
416	19082	45.87
417	18945	45.43
418	19616	46.93
419	19556	46.67
420	19168	45.64
421	19565	46.47
422	19963	47.31
423	19310	45.65
424	19848	46.81
425	19853	46.71
426	19879	46.66
427	19882	46.56
428	19771	46.19
429	19918	46.43
430	19841	46.14
431	20033	46.48
432	21108	48.86
433	20207	46.67
434	20586	47.43
435	20932	48.12
436	20435	46.87
437	21400	48.97
438	21028	48.01
439	20629	46.99
440	21146	48.06
441	20878	47.34
442	20885	47.25
443	21043	47.50
444	22417	50.49
445	24731	55.58
446	21413	48.01
447	21027	47.04
448	21078	47.05
449	21665	48.25
450	22813	50.70
451	21508	47.69
452	21558	47.69
453	21732	47.97
454	21495	47.35
455	22762	50.03
456	21994	48.23
457	25099	54.92
458	23000	50.22
459	22588	49.21
460	22282	48.44
461	23952	51.96
462	22594	48.90
463	22723	49.08
464	22446	48.38
465	23094	49.66
466	26377	56.60
467	29385	62.92
468	22656	48.41
469	23006	49.05
470	22900	48.72
471	23080	49.00
472	23593	49.99
473	23309	49.28
474	23520	49.62
475	23203	48.85
476	24865	52.24
477	23787	49.87
478	23489	49.14
479	23286	48.61
480	23583	49.13
481	23655	49.18
482	24023	49.84
483	24046	49.78
484	24337	50.28
485	24115	49.72
486	23945	49.27
487	24387	50.08
488	24652	50.52
489	24753	50.62
490	24377	49.75
491	24561	50.02
492	24707	50.22
493	24529	49.75
494	24850	50.30
495	24734	49.97
496	24940	50.28
497	24886	50.07
498	24905	50.01
499	25266	50.63
500	26226	52.45
501	24925	49.75
502	25397	50.59
503	25197	50.09
504	25944	51.48
505	25634	50.76
506	25748	50.89
507	25761	50.81
508	25414	50.03
509	26318	51.71
510	25987	50.95
511	26306	51.48
512	25957	50.70
513	26237	51.14
514	27144	52.81
515	26263	51.00
516	26848	52.03
517	26396	51.06
518	26652	51.45
519	27275	52.55
520	26629	51.21
521	26888	51.61
522	27139	51.99
523	26731	51.11
524	27547	52.57
525	27167	51.75
526	27166	51.65
527	27184	51.58
528	28022	53.07
529	28726	54.30
530	27763	52.38
531	27717	52.20
532	27546	51.78
533	27691	51.95
534	28356	53.10
535	27716	51.81
536	28188	52.59
537	32010	59.61
538	28501	52.98
539	28320	52.54
540	28245	52.31
541	28339	52.38
542	28517	52.61
543	28688	52.83
544	28541	52.47
545	28970	53.16
546	28963	53.05
547	28832	52.71
548	29400	53.65
549	29144	53.09
550	29041	52.80
