N	Total Time	Average CPE
1	67	67.00
2	81	40.50
3	100	33.33
4	145	36.25
5	164	32.80
6	214	35.67
7	225	32.14
8	239	29.88
9	255	28.33
10	463	46.30
11	236	21.45
12	320	26.67
13	340	26.15
14	351	25.07
15	394	26.27
16	517	32.31
17	598	35.18
18	516	28.67
19	387	20.37
20	405	20.25
21	424	20.19
22	439	19.95
23	461	20.04
24	476	19.83
25	497	19.88
26	542	20.85
27	562	20.81
28	576	20.57
29	594	20.48
30	614	20.47
31	632	20.39
32	1115	34.84
33	704	21.33
34	722	21.24
35	748	21.37
36	3579	99.42
37	791	21.38
38	820	21.58
39	846	21.69
40	866	21.65
41	897	21.88
42	959	22.83
43	973	22.63
44	991	22.52
45	1017	22.60
46	1039	22.59
47	1128	24.00
48	1091	22.73
49	1125	22.96
50	1139	22.78
51	1312	25.73
52	1194	22.96
53	1352	25.51
54	1236	22.89
55	1523	27.69
56	1947	34.77
57	1306	22.91
58	1333	22.98
59	1506	25.53
60	1373	22.88
61	1541	25.26
62	1426	23.00
63	1622	25.75
64	1480	23.12
65	5112	78.65
66	1578	23.91
67	1593	23.78
68	1643	24.16
69	1648	23.88
70	1798	25.69
71	1710	24.08
72	1921	26.68
73	1775	24.32
74	1810	24.46
75	1856	24.75
76	1913	25.17
77	1949	25.31
78	1971	25.27
79	2049	25.94
80	2027	25.34
81	2057	25.40
82	2090	25.49
83	2380	28.67
84	2525	30.06
85	2560	30.12
86	2213	25.73
87	2260	25.98
88	2277	25.88
89	2329	26.17
90	2541	28.23
91	2581	28.36
92	2411	26.21
93	2445	26.29
94	2477	26.35
95	2973	31.29
96	2688	28.00
97	2573	26.53
98	2609	26.62
99	2631	26.58
100	2672	26.72
101	2746	27.19
102	2743	26.89
103	2796	27.15
104	2819	27.11
105	3151	30.01
106	3279	30.93
107	2955	27.62
108	3247	30.06
109	3029	27.79
110	3549	32.26
111	3144	28.32
112	3139	28.03
113	3191	28.24
114	3219	28.24
115	3428	29.81
116	3302	28.47
117	3332	28.48
118	3539	29.99
119	3445	28.95
120	3451	28.76
121	3497	28.90
122	3835	31.43
123	3705	30.12
124	3594	28.98
125	3656	29.25
126	3954	31.38
127	3912	30.80
128	3740	29.22
129	3890	30.16
130	4126	31.74
131	4059	30.98
132	3959	29.99
133	3986	29.97
134	4074	30.40
135	4074	30.18
136	4108	30.21
137	4434	32.36
138	4386	31.78
139	4241	30.51
140	5289	37.78
141	4386	31.11
142	4402	31.00
143	4667	32.64
144	4653	32.31
145	4540	31.31
146	4558	31.22
147	4640	31.56
148	4649	31.41
149	5145	34.53
150	4740	31.60
151	4765	31.56
152	4811	31.65
153	4909	32.08
154	4893	31.77
155	4968	32.05
156	5218	33.45
157	5193	33.08
158	5089	32.21
159	5160	32.45
160	6052	37.83
161	5421	33.67
162	5424	33.48
163	5297	32.50
164	5379	32.80
165	5368	32.53
166	5677	34.20
167	5633	33.73
168	5506	32.77
169	5643	33.39
170	5636	33.15
171	5641	32.99
172	5910	34.36
173	5724	33.09
174	5796	33.31
175	5900	33.71
176	5895	33.49
177	6425	36.30
178	5987	33.63
179	6025	33.66
180	6134	34.08
181	6321	34.92
182	6367	34.98
183	6219	33.98
184	7262	39.47
185	6552	35.42
