N	Total Time	Average CPE
1	88	88.00
2	104	52.00
3	104	34.67
4	137	34.25
5	160	32.00
6	184	30.67
7	188	26.86
8	144	18.00
9	162	18.00
10	185	18.50
11	203	18.45
12	255	21.25
13	289	22.23
14	319	22.79
15	350	23.33
16	386	24.12
17	495	29.12
18	552	30.67
19	538	28.32
20	568	28.40
21	614	29.24
22	642	29.18
23	677	29.43
24	811	33.79
25	748	29.92
26	830	31.92
27	911	33.74
28	954	34.07
29	1001	34.52
30	1042	34.73
31	1084	34.97
32	1126	35.19
33	1719	52.09
34	1892	55.65
35	1491	42.60
36	1366	37.94
37	1712	46.27
38	1505	39.61
39	1542	39.54
40	1611	40.27
41	1652	40.29
42	1719	40.93
43	1759	40.91
44	1931	43.89
45	2290	50.89
46	1998	43.43
47	2021	43.00
48	2130	44.38
49	2248	45.88
50	2250	45.00
51	2323	45.55
52	2466	47.42
53	2788	52.60
54	2541	47.06
55	2632	47.85
56	2889	51.59
57	2791	48.96
58	2906	50.10
59	5220	88.47
60	3000	50.00
61	3580	58.69
62	3369	54.34
63	3528	56.00
64	3313	51.77
65	4045	62.23
66	3542	53.67
67	3789	56.55
68	3787	55.69
69	3782	54.81
70	4103	58.61
71	4020	56.62
72	4404	61.17
73	4783	65.52
74	4309	58.23
75	4382	58.43
76	4475	58.88
77	4656	60.47
78	4685	60.06
79	4780	60.51
80	4890	61.12
81	5017	61.94
82	5099	62.18
83	5076	61.16
84	5251	62.51
85	5570	65.53
86	5392	62.70
87	5689	65.39
88	5590	63.52
89	6483	72.84
90	5902	65.58
91	6279	69.00
92	6012	65.35
93	6354	68.32
94	6226	66.23
95	6498	68.40
96	6554	68.27
97	6648	68.54
98	6949	70.91
99	6867	69.36
100	8404	84.04
101	7334	72.61
102	7529	73.81
103	7309	70.96
104	7400	71.15
105	7587	72.26
106	7755	73.16
107	7933	74.14
108	8738	80.91
109	8041	73.77
110	8343	75.85
111	8190	73.78
112	8493	75.83
113	8516	75.36
114	8843	77.57
115	9006	78.31
116	8790	75.78
117	8992	76.85
118	9491	80.43
119	9344	78.52
120	9466	78.88
121	9466	78.23
122	9961	81.65
123	9662	78.55
124	10904	87.94
125	10184	81.47
126	10385	82.42
127	10390	81.81
128	10642	83.14
129	11241	87.14
130	10807	83.13
131	10870	82.98
132	11354	86.02
133	11261	84.67
134	11475	85.63
135	11754	87.07
136	12546	92.25
137	11703	85.42
138	11936	86.49
139	11872	85.41
140	12099	86.42
141	12783	90.66
142	12294	86.58
143	12783	89.39
144	12767	88.66
145	12717	87.70
146	13362	91.52
147	13250	90.14
148	13962	94.34
149	13756	92.32
150	13442	89.61
151	13965	92.48
152	13914	91.54
153	13979	91.37
154	14267	92.64
155	14373	92.73
156	14619	93.71
157	14673	93.46
158	15452	97.80
159	15101	94.97
160	14940	93.38
161	15470	96.09
162	15429	95.24
163	15671	96.14
164	15561	94.88
165	15951	96.67
166	16387	98.72
167	16738	100.23
168	16616	98.90
169	16375	96.89
170	16886	99.33
171	16858	98.58
172	17160	99.77
173	17205	99.45
174	17465	100.37
175	18090	103.37
176	17859	101.47
177	17849	100.84
178	18134	101.88
179	18191	101.63
180	18449	102.49
181	18473	102.06
182	18796	103.27
183	20651	112.85
184	19379	105.32
185	19597	105.93
186	19677	105.79
187	19910	106.47
188	20004	106.40
189	20065	106.16
190	21281	112.01
191	46021	240.95
192	20646	107.53
193	20479	106.11
194	21239	109.48
195	21106	108.24
196	22049	112.49
197	21648	109.89
198	21392	108.04
199	21931	110.21
200	23342	116.71
201	22058	109.74
202	22458	111.18
203	23903	117.75
204	29924	146.69
205	23330	113.80
206	24093	116.96
207	23531	113.68
208	23826	114.55
209	25273	120.92
210	23807	113.37
211	24766	117.37
212	24572	115.91
213	24540	115.21
214	25593	119.59
215	24940	116.00
216	25131	116.35
217	25711	118.48
218	25650	117.66
219	26647	121.68
220	26906	122.30
221	26345	119.21
222	26505	119.39
223	26743	119.92
224	26693	119.17
225	27214	120.95
226	27745	122.77
227	27470	121.01
228	27247	119.50
229	27552	120.31
230	27808	120.90
231	28881	125.03
232	28195	121.53
233	28625	122.85
234	28852	123.30
235	29256	124.49
236	30336	128.54
237	29199	123.20
238	29584	124.30
239	30968	129.57
240	29855	124.40
241	30886	128.16
242	30149	124.58
243	30614	125.98
244	35247	144.45
245	31601	128.98
246	31321	127.32
247	31636	128.08
248	31995	129.01
249	32088	128.87
250	32294	129.18
251	32494	129.46
252	32760	130.00
253	32855	129.86
254	33829	133.19
255	36020	141.25
256	33438	130.62
257	34801	135.41
258	34218	132.63
259	35059	135.36
260	34726	133.56
261	34705	132.97
262	35073	133.87
263	35338	134.37
264	35296	133.70
265	35559	134.18
266	35945	135.13
267	36594	137.06
268	36362	135.68
269	36519	135.76
270	36742	136.08
271	38052	140.41
272	37286	137.08
273	37877	138.74
274	37764	137.82
275	39782	144.66
276	38342	138.92
277	38587	139.30
278	38638	138.99
279	41329	148.13
280	39132	139.76
281	39564	140.80
282	40037	141.98
283	40439	142.89
284	40203	141.56
285	40519	142.17
286	41237	144.19
287	40934	142.63
288	41564	144.32
289	41362	143.12
290	41900	144.48
291	42269	145.25
292	42134	144.29
293	43795	149.47
294	42542	144.70
295	43287	146.74
296	43443	146.77
297	43967	148.04
298	43697	146.63
299	43968	147.05
300	46475	154.92
301	44475	147.76
302	44924	148.75
303	45914	151.53
304	45247	148.84
305	45730	149.93
306	49688	162.38
307	46698	152.11
308	48267	156.71
309	46514	150.53
310	48289	155.77
311	47093	151.42
312	48043	153.98
313	48029	153.45
314	49008	156.08
315	48714	154.65
316	48870	154.65
317	49375	155.76
318	49268	154.93
319	50012	156.78
320	49719	155.37
321	50162	156.27
322	51710	160.59
323	50998	157.89
324	50986	157.36
325	51067	157.13
326	51115	156.79
327	51750	158.26
328	53289	162.47
329	52261	158.85
330	56972	172.64
331	56056	169.35
332	53599	161.44
333	53974	162.08
334	53669	160.69
335	53901	160.90
336	54609	162.53
337	54374	161.35
338	54553	161.40
339	55351	163.28
340	56021	164.77
341	55907	163.95
342	56698	165.78
343	56119	163.61
344	56853	165.27
345	56509	163.79
346	57005	164.75
347	57730	166.37
348	57739	165.92
349	58291	167.02
350	58646	167.56
351	62776	178.85
352	59491	169.01
353	61326	173.73
354	60400	170.62
355	60268	169.77
356	60215	169.14
357	60650	169.89
358	60825	169.90
359	61145	170.32
360	61084	169.68
361	61676	170.85
362	64077	177.01
363	61999	170.80
364	62758	172.41
365	62841	172.17
366	63240	172.79
367	63483	172.98
368	63956	173.79
369	64247	174.11
370	64581	174.54
371	69292	186.77
372	69413	186.59
373	66997	179.62
374	65856	176.09
375	66110	176.29
376	67568	179.70
377	66752	177.06
378	67469	178.49
379	67497	178.09
380	69114	181.88
381	67847	178.08
382	70449	184.42
383	68302	178.33
384	69402	180.73
385	69226	179.81
386	69653	180.45
387	69914	180.66
388	70147	180.79
389	71038	182.62
390	70758	181.43
391	71899	183.88
392	72375	184.63
393	72721	185.04
394	72341	183.61
395	72773	184.24
396	72805	183.85
397	75968	191.36
398	73445	184.54
399	74780	187.42
400	74237	185.59
401	74682	186.24
402	74781	186.02
403	75654	187.73
404	76120	188.42
405	75789	187.13
406	76009	187.21
407	76850	188.82
408	77519	190.00
409	79207	193.66
410	77880	189.95
411	77781	189.25
412	78289	190.02
413	79024	191.34
414	78966	190.74
415	79480	191.52
416	79669	191.51
417	80870	193.93
418	80603	192.83
419	80396	191.88
420	82674	196.84
421	81634	193.90
422	81757	193.74
423	81778	193.33
424	84170	198.51
425	82573	194.29
426	83494	196.00
427	83210	194.87
428	85208	199.08
429	83771	195.27
430	84783	197.17
431	85021	197.26
432	86259	199.67
433	86223	199.13
434	90731	209.06
435	86507	198.87
436	86609	198.64
437	88109	201.62
438	89659	204.70
439	87311	198.89
440	89616	203.67
441	88363	200.37
442	90433	204.60
443	89429	201.87
444	100310	225.92
445	90337	203.00
446	90627	203.20
447	90573	202.62
448	91626	204.52
449	91775	204.40
450	92271	205.05
451	93886	208.17
452	92577	204.82
453	93740	206.93
454	93637	206.25
455	94135	206.89
456	94492	207.22
457	94244	206.22
458	95145	207.74
459	95554	208.18
460	98914	215.03
461	97166	210.77
462	95880	207.53
463	97051	209.61
464	98803	212.94
465	97201	209.03
466	105733	226.89
467	101403	217.14
468	100351	214.43
469	100310	213.88
470	100432	213.69
471	100319	212.99
472	101396	214.82
473	109414	231.32
474	102059	215.31
475	102924	216.68
476	103569	217.58
477	102507	214.90
478	104206	218.00
479	104845	218.88
480	106006	220.85
481	104096	216.42
482	104377	216.55
483	104685	216.74
484	106848	220.76
485	105913	218.38
486	106133	218.38
487	109337	224.51
488	107127	219.52
489	107104	219.03
490	109376	223.22
491	108571	221.12
492	108909	221.36
493	109137	221.37
494	109273	221.20
495	111775	225.81
496	113789	229.41
497	110449	222.23
498	111358	223.61
499	111317	223.08
500	112608	225.22
501	113962	227.47
502	112196	223.50
503	113266	225.18
504	113460	225.12
505	113855	225.46
506	115913	229.08
507	115353	227.52
508	115098	226.57
509	116005	227.91
510	115275	226.03
511	117172	229.30
512	116972	228.46
513	117281	228.62
514	119102	231.72
515	118811	230.70
516	118830	230.29
517	125721	243.17
518	119494	230.68
519	119530	230.31
520	120016	230.80
521	121196	232.62
522	123629	236.84
523	122687	234.58
524	121817	232.48
525	123860	235.92
526	122763	233.39
527	124936	237.07
528	123460	233.83
529	124321	235.01
530	124588	235.07
531	125151	235.69
532	126419	237.63
533	126586	237.50
534	126581	237.04
535	126881	237.16
536	129728	242.03
537	130949	243.85
538	127703	237.37
539	128673	238.73
540	128863	238.64
541	128962	238.38
542	129776	239.44
543	129955	239.33
544	130743	240.34
545	133571	245.08
546	134206	245.80
547	132184	241.65
548	132206	241.25
549	132663	241.64
550	133464	242.66
551	133673	242.60
552	134039	242.82
553	136073	246.06
554	137300	247.83
555	140473	253.10
556	135909	244.44
557	136571	245.19
558	136889	245.32
559	137928	246.74
560	138198	246.78
561	138859	247.52
562	138519	246.48
563	142057	252.32
564	142828	253.24
565	140851	249.29
566	140803	248.77
567	142307	250.98
568	141511	249.14
569	143121	251.53
570	143547	251.84
571	143122	250.65
572	144916	253.35
573	147271	257.02
574	144541	251.81
575	144407	251.14
576	145191	252.07
577	145644	252.42
578	146969	254.27
579	146410	252.87
580	146963	253.38
581	149082	256.60
582	149148	256.27
583	150277	257.77
584	149329	255.70
585	150780	257.74
586	150579	256.96
587	151247	257.66
588	150840	256.53
589	157435	267.29
590	151931	257.51
591	153996	260.57
592	153012	258.47
593	157124	264.96
594	153969	259.21
595	154676	259.96
596	155463	260.84
597	158811	266.02
598	155928	260.75
599	156722	261.64
600	163158	271.93
601	157904	262.74
602	158157	262.72
603	158530	262.90
604	158654	262.67
605	164974	272.68
606	160407	264.70
607	160364	264.19
608	160637	264.21
609	161135	264.59
610	164391	269.49
611	161964	265.08
612	164826	269.32
613	165930	270.69
614	165530	269.59
615	173195	281.62
616	172155	279.47
617	166312	269.55
618	165676	268.08
619	166977	269.75
620	166690	268.85
621	168048	270.61
622	167771	269.73
623	168139	269.89
624	169039	270.90
625	169540	271.26
626	169569	270.88
627	170004	271.14
628	172583	274.81
629	171259	272.27
630	175020	277.81
631	172743	273.76
632	172807	273.43
633	173137	273.52
634	173619	273.85
635	175769	276.80
636	175168	275.42
637	175127	274.92
638	175425	274.96
639	176353	275.98
640	176591	275.92
641	177082	276.26
642	179030	278.86
643	178227	277.18
644	182392	283.22
645	179787	278.74
646	179807	278.34
647	180076	278.32
648	181023	279.36
649	182450	281.12
650	182350	280.54
651	182259	279.97
652	183340	281.20
653	183129	280.44
654	184193	281.64
655	188508	287.80
656	185324	282.51
657	189466	288.38
658	187898	285.56
659	187711	284.84
660	186887	283.16
661	188066	284.52
662	188101	284.14
663	191675	289.10
664	189578	285.51
665	191349	287.74
666	190824	286.52
667	190304	285.31
668	191745	287.04
669	192946	288.41
670	196869	293.83
671	193618	288.55
672	382549	569.27
673	198845	295.46
674	195421	289.94
675	197776	293.00
676	196890	291.26
677	197679	291.99
678	198091	292.17
679	197574	290.98
680	205404	302.06
681	199074	292.33
682	199133	291.98
683	209268	306.40
684	202150	295.54
685	201778	294.57
686	204675	298.36
687	203485	296.19
688	202679	294.59
689	205363	298.06
690	203983	295.63
691	204961	296.62
692	207121	299.31
693	206526	298.02
694	206542	297.61
695	207669	298.80
696	211915	304.48
697	207698	297.99
698	210323	301.32
699	210575	301.25
700	213568	305.10
701	210938	300.91
702	210391	299.70
703	222475	316.47
704	215371	305.92
705	212453	301.35
706	214631	304.01
707	220909	312.46
708	213746	301.90
709	214942	303.16
710	219856	309.66
711	224803	316.18
712	217478	305.45
713	224918	315.45
714	218993	306.71
715	219609	307.15
716	219703	306.85
717	219418	306.02
718	222189	309.46
719	220195	306.25
720	221019	306.97
721	221385	307.05
722	222405	308.04
723	223838	309.60
724	224931	310.68
725	223095	307.72
726	224538	309.28
727	223851	307.91
728	225173	309.30
729	234032	321.03
730	228036	312.38
731	227491	311.21
732	226736	309.75
733	228617	311.89
734	232191	316.34
735	231111	314.44
736	229622	311.99
737	230715	313.05
738	231371	313.51
739	231352	313.06
740	237682	321.19
741	233007	314.45
742	233709	314.97
743	234076	315.04
744	234065	314.60
745	236313	317.20
746	236098	316.49
747	236185	316.18
748	236991	316.83
749	237311	316.84
750	242406	323.21
751	240272	319.94
752	240071	319.24
753	240252	319.06
754	240324	318.73
755	241130	319.38
756	245301	324.47
757	241775	319.39
758	242521	319.95
759	244729	322.44
760	243473	320.36
761	248948	327.13
762	245648	322.37
763	246298	322.80
764	246574	322.74
765	246866	322.70
766	249827	326.14
767	248205	323.60
768	249269	324.57
769	249395	324.31
770	262580	341.01
771	252552	327.56
772	250921	325.03
773	252475	326.62
774	252433	326.14
775	253258	326.78
776	253347	326.48
777	254614	327.69
778	255200	328.02
779	256460	329.22
780	261496	335.25
781	257128	329.23
782	258710	330.83
783	258060	329.58
784	258395	329.59
785	261277	332.84
786	260700	331.68
787	260321	330.78
788	261186	331.45
789	262501	332.70
790	267522	338.64
791	264467	334.35
792	264426	333.87
793	264478	333.52
794	267970	337.49
795	266704	335.48
796	267147	335.61
797	267988	336.25
798	267518	335.24
799	272398	340.92
800	272190	340.24
801	270544	337.76
802	270156	336.85
803	271113	337.63
804	273215	339.82
805	272832	338.92
806	273952	339.89
807	273871	339.37
808	280873	347.62
809	275587	340.65
810	276030	340.78
811	276306	340.70
812	277635	341.92
813	279710	344.05
814	277983	341.50
815	279318	342.72
816	279424	342.43
817	284501	348.23
818	280867	343.36
819	281371	343.55
820	282538	344.56
821	285776	348.08
822	287276	349.48
823	284066	345.16
824	284456	345.21
825	286638	347.44
826	295484	357.73
827	286019	345.85
828	287476	347.19
829	288910	348.50
830	291406	351.09
831	295724	355.87
832	363292	436.65
833	332305	398.93
834	292622	350.87
835	296012	354.51
836	298084	356.56
837	293305	350.42
838	298205	355.85
839	296161	352.99
840	297906	354.65
841	295963	351.92
842	298097	354.03
843	298635	354.25
844	301837	357.63
845	300393	355.49
846	301185	356.01
847	300050	354.25
848	302554	356.79
849	302208	355.96
850	301873	355.14
851	312465	367.17
852	350905	411.86
853	326152	382.36
854	307337	359.88
855	307868	360.08
856	306588	358.16
857	308167	359.59
858	307243	358.09
859	308077	358.65
860	308602	358.84
861	310242	360.33
862	312374	362.38
863	313875	363.70
864	312808	362.05
865	312550	361.33
866	313900	362.47
867	313972	362.14
868	314756	362.62
869	318082	366.03
870	321332	369.35
871	318701	365.90
872	316576	363.05
873	318216	364.51
874	319328	365.36
875	320971	366.82
876	319916	365.20
877	320843	365.84
878	323963	368.98
879	323518	368.05
880	322512	366.49
881	323431	367.12
882	324399	367.80
883	326174	369.39
884	325665	368.40
885	326182	368.57
886	331166	373.78
887	328432	370.27
888	328237	369.64
889	330063	371.27
890	330677	371.55
891	330592	371.03
892	330865	370.92
893	334489	374.57
894	334018	373.62
895	332496	371.50
896	333491	372.20
897	334344	372.74
898	337544	375.88
899	337602	375.53
900	337314	374.79
901	342318	379.93
902	338502	375.28
903	338412	374.76
904	342696	379.09
905	341347	377.18
906	341114	376.51
907	341596	376.62
908	346798	381.94
909	345068	379.61
910	342823	376.73
911	344263	377.90
912	346797	380.26
913	346551	379.57
914	346751	379.38
915	349867	382.37
916	350076	382.18
917	348485	380.03
