N	Total Time	Average CPE
1	201	201.00
2	48	24.00
3	144	48.00
4	72	18.00
5	163	32.60
6	210	35.00
7	173	24.71
8	322	40.25
9	327	36.33
10	370	37.00
11	358	32.55
12	477	39.75
13	432	33.23
14	505	36.07
15	554	36.93
16	520	32.50
17	554	32.59
18	596	33.11
19	705	37.11
20	825	41.25
21	539	25.67
22	553	25.14
23	655	28.48
24	559	23.29
25	627	25.08
26	696	26.77
27	819	30.33
28	1288	46.00
29	1127	38.86
30	977	32.57
31	1118	36.06
32	1157	36.16
33	1061	32.15
34	1297	38.15
35	550	15.71
36	556	15.44
37	571	15.43
38	571	15.03
39	596	15.28
40	732	18.30
41	589	14.37
42	597	14.21
43	618	14.37
44	910	20.68
45	1241	27.58
46	1180	25.65
47	1250	26.60
48	1181	24.60
49	961	19.61
50	708	14.16
51	718	14.08
52	735	14.13
53	853	16.09
54	882	16.33
55	884	16.07
56	869	15.52
57	827	14.51
58	813	14.02
59	870	14.75
60	970	16.17
61	857	14.05
62	922	14.87
63	1480	23.49
64	1581	24.70
65	1649	25.37
66	1752	26.55
67	955	14.25
68	1237	18.19
69	982	14.23
70	1063	15.19
71	1080	15.21
72	1057	14.68
73	1050	14.38
74	1029	13.91
75	1100	14.67
76	1164	15.32
77	1162	15.09
78	1087	13.94
79	1101	13.94
80	1407	17.59
81	1124	13.88
82	1519	18.52
83	2061	24.83
84	2018	24.02
85	1479	17.40
86	1241	14.43
87	1241	14.26
88	1339	15.22
89	1331	14.96
90	1236	13.73
91	1266	13.91
92	1370	14.89
93	1644	17.68
94	1324	14.09
95	1314	13.83
96	1388	14.46
97	1476	15.22
98	1404	14.33
99	1379	13.93
100	1507	15.07
101	1395	13.81
102	2651	25.99
103	2691	26.13
104	1905	18.32
105	1453	13.84
106	1583	14.93
107	1619	15.13
108	1603	14.84
109	1503	13.79
110	1638	14.89
111	1804	16.25
112	1860	16.61
113	1613	14.27
114	1674	14.68
115	1631	14.18
116	1618	13.95
117	1746	14.92
118	1727	14.64
119	1648	13.85
120	1808	15.07
121	1846	15.26
122	3163	25.93
123	2858	23.24
124	1732	13.97
125	1845	14.76
126	2338	18.56
127	3253	25.61
128	2750	21.48
129	1772	13.74
130	1898	14.60
131	1927	14.71
132	1814	13.74
133	1927	14.49
134	1945	14.51
135	2054	15.21
136	1974	14.51
137	1967	14.36
138	1882	13.64
139	2045	14.71
140	2321	16.58
141	2440	17.30
142	7454	52.49
143	2479	17.34
144	2047	14.22
145	2197	15.15
146	2016	13.81
147	2092	14.23
148	2171	14.67
149	2055	13.79
150	2175	14.50
151	2152	14.25
152	2750	18.09
153	2397	15.67
154	2133	13.85
155	2397	15.46
156	2281	14.62
157	2156	13.73
158	2375	15.03
159	2280	14.34
160	2378	14.86
161	3122	19.39
162	4086	25.22
163	2211	13.56
164	2379	14.51
165	2356	14.28
166	3543	21.34
167	2461	14.74
168	2314	13.77
169	2490	14.73
170	2362	13.89
171	2486	14.54
172	2456	14.28
173	2426	14.02
174	2560	14.71
175	2403	13.73
176	2726	15.49
177	4363	24.65
178	2876	16.16
179	2795	15.61
180	2914	16.19
181	3619	19.99
182	4078	22.41
183	2537	13.86
184	2676	14.54
185	2533	13.69
186	2723	14.64
187	2554	13.66
188	2747	14.61
189	2809	14.86
190	2757	14.51
191	2670	13.98
192	2748	14.31
193	2731	14.15
194	2768	14.27
195	2732	14.01
196	3029	15.45
197	2763	14.03
198	2831	14.30
199	2812	14.13
200	2933	14.66
201	4147	20.63
202	3797	18.80
203	2900	14.29
204	3305	16.20
205	3100	15.12
206	3297	16.00
207	2954	14.27
208	2937	14.12
209	4263	20.40
210	3166	15.08
211	3320	15.73
212	2934	13.84
213	3135	14.72
214	2949	13.78
215	3352	15.59
216	2980	13.80
217	3129	14.42
218	3071	14.09
219	3144	14.36
220	3208	14.58
221	5037	22.79
222	3772	16.99
223	3239	14.52
224	3077	13.74
225	4175	18.56
226	5081	22.48
227	3227	14.22
228	3989	17.50
229	3443	15.03
230	3190	13.87
231	3378	14.62
232	3188	13.74
233	3341	14.34
234	3286	14.04
235	3311	14.09
236	3435	14.56
237	3265	13.78
238	3622	15.22
239	3385	14.16
240	3828	15.95
241	5758	23.89
242	3759	15.53
243	3552	14.62
244	3454	14.16
245	4529	18.49
246	3893	15.83
247	3462	14.02
248	3593	14.49
249	3534	14.19
250	3796	15.18
251	5772	23.00
252	3556	14.11
253	3586	14.17
254	3642	14.34
255	3550	13.92
256	3723	14.54
257	3683	14.33
258	3597	13.94
259	3892	15.03
260	3757	14.45
261	6744	25.84
262	3849	14.69
263	4062	15.44
264	4147	15.71
265	3811	14.38
266	4272	16.06
267	4429	16.59
268	3916	14.61
269	4272	15.88
270	4551	16.86
271	3941	14.54
272	4226	15.54
273	4341	15.90
274	4169	15.22
275	4184	15.21
276	5106	18.50
277	4351	15.71
278	4569	16.44
279	4364	15.64
280	4098	14.64
281	6913	24.60
282	4000	14.18
283	4062	14.35
284	4305	15.16
285	4558	15.99
286	4064	14.21
287	4137	14.41
288	4318	14.99
289	4334	15.00
290	4313	14.87
291	4482	15.40
292	4532	15.52
293	4320	14.74
294	4186	14.24
295	4408	14.94
296	4221	14.26
297	4907	16.52
298	4425	14.85
299	4353	14.56
300	4458	14.86
301	6808	22.62
302	4525	14.98
303	4326	14.28
304	4488	14.76
305	5216	17.10
306	4551	14.87
307	4424	14.41
308	4961	16.11
309	4472	14.47
310	4448	14.35
311	4389	14.11
312	4684	15.01
313	4490	14.35
314	4529	14.42
315	4523	14.36
316	4732	14.97
317	5031	15.87
318	4542	14.28
319	4600	14.42
320	4764	14.89
321	6991	21.78
322	4839	15.03
323	4575	14.16
324	4566	14.09
325	5169	15.90
326	4725	14.49
327	4906	15.00
328	4774	14.55
329	4864	14.78
330	5277	15.99
331	4708	14.22
332	4770	14.37
333	4800	14.41
334	4917	14.72
335	4746	14.17
336	4774	14.21
337	4835	14.35
338	4995	14.78
339	4930	14.54
340	4971	14.62
341	7755	22.74
342	4913	14.37
343	4879	14.22
344	5028	14.62
345	4881	14.15
346	4876	14.09
347	5181	14.93
348	5001	14.37
349	4970	14.24
350	4962	14.18
351	4983	14.20
352	4951	14.07
353	4964	14.06
354	5046	14.25
355	5924	16.69
356	5469	15.36
357	5110	14.31
358	5066	14.15
359	5079	14.15
360	5300	14.72
361	7500	20.78
362	5138	14.19
363	5219	14.38
364	5171	14.21
365	5411	14.82
366	5396	14.74
367	5178	14.11
368	5186	14.09
369	5218	14.14
370	5386	14.56
371	5245	14.14
372	5350	14.38
373	5271	14.13
374	5384	14.40
375	6755	18.01
376	6264	16.66
377	5421	14.38
378	6103	16.15
