N	Total Time	Average CPE
1	49	49.00
2	67	33.50
3	87	29.00
4	107	26.75
5	129	25.80
6	151	25.17
7	170	24.29
8	398	49.75
9	240	26.67
10	261	26.10
11	317	28.82
12	309	25.75
13	334	25.69
14	367	26.21
15	397	26.47
16	436	27.25
17	456	26.82
18	532	29.56
19	567	29.84
20	611	30.55
21	628	29.90
22	660	30.00
23	654	28.43
24	924	38.50
25	1072	42.88
26	710	27.31
27	775	28.70
28	784	28.00
29	798	27.52
30	841	28.03
31	1199	38.68
32	861	26.91
33	902	27.33
34	928	27.29
35	945	27.00
36	1013	28.14
37	1184	32.00
38	1030	27.11
39	1094	28.05
40	1079	26.98
41	1155	28.17
42	1118	26.62
43	1149	26.72
44	1370	31.14
45	1218	27.07
46	1591	34.59
47	1296	27.57
48	1463	30.48
49	1299	26.51
50	1327	26.54
51	1431	28.06
52	1449	27.87
53	1487	28.06
54	1506	27.89
55	1500	27.27
56	1406	25.11
57	1392	24.42
58	1707	29.43
59	1443	24.46
60	1412	23.53
61	1440	23.61
62	1462	23.58
63	1513	24.02
64	1501	23.45
65	1587	24.42
66	1561	23.65
67	1587	23.69
68	1621	23.84
69	1657	24.01
70	1710	24.43
71	1733	24.41
72	1724	23.94
73	1718	23.53
74	1809	24.45
75	1766	23.55
76	1791	23.57
77	2109	27.39
78	1875	24.04
79	2068	26.18
80	2066	25.82
81	1898	23.43
82	2527	30.82
83	1978	23.83
84	2056	24.48
85	2262	26.61
86	2053	23.87
87	2087	23.99
88	2080	23.64
89	2093	23.52
90	2591	28.79
91	4746	52.15
92	4977	54.10
93	4839	52.03
94	2893	30.78
95	2253	23.72
96	2524	26.29
97	2478	25.55
98	2308	23.55
99	2342	23.66
100	3241	32.41
101	2376	23.52
102	2682	26.29
103	2648	25.71
104	2412	23.19
105	2730	26.00
106	2672	25.21
107	2535	23.69
108	2522	23.35
109	2824	25.91
110	2600	23.64
111	2631	23.70
112	2657	23.72
113	2666	23.59
114	2993	26.25
115	2711	23.57
116	2754	23.74
117	2769	23.67
118	2833	24.01
119	2821	23.71
120	3072	25.60
121	2980	24.63
122	2831	23.20
123	3621	29.44
124	2897	23.36
125	2946	23.57
126	3012	23.90
127	2985	23.50
128	2999	23.43
129	3258	25.26
130	3062	23.55
131	3297	25.17
132	3071	23.27
133	3116	23.43
134	3260	24.33
135	3443	25.50
136	3383	24.88
137	3198	23.34
138	3225	23.37
139	3309	23.81
140	3540	25.29
141	3356	23.80
142	3336	23.49
143	3467	24.24
144	3379	23.47
145	3789	26.13
146	3415	23.39
147	3432	23.35
148	3481	23.52
149	3712	24.91
150	3690	24.60
151	3553	23.53
152	3590	23.62
153	3553	23.22
154	4203	27.29
155	3615	23.32
156	3649	23.39
157	3738	23.81
158	3699	23.41
159	3923	24.67
160	3754	23.46
161	3790	23.54
162	4020	24.81
163	3834	23.52
164	3813	23.25
165	3939	23.87
166	3936	23.71
167	4012	24.02
168	3899	23.21
169	3994	23.63
170	3989	23.46
171	4166	24.36
172	4032	23.44
173	4117	23.80
174	4066	23.37
175	4269	24.39
176	4185	23.78
177	4143	23.41
178	4181	23.49
179	4169	23.29
180	4275	23.75
181	4214	23.28
182	4512	24.79
183	4285	23.42
184	4477	24.33
185	4318	23.34
186	4519	24.30
187	4410	23.58
188	4402	23.41
189	4704	24.89
190	4446	23.40
191	4574	23.95
192	4729	24.63
193	4618	23.93
194	4544	23.42
195	4517	23.16
196	4755	24.26
197	4605	23.38
198	4670	23.59
199	4664	23.44
200	4705	23.52
201	4883	24.29
202	4701	23.27
203	4913	24.20
204	4813	23.59
205	4987	24.33
206	5003	24.29
207	4853	23.44
208	4930	23.70
209	4890	23.40
210	4908	23.37
211	4924	23.34
212	4940	23.30
213	4977	23.37
214	5043	23.57
215	5302	24.66
216	5034	23.31
217	5900	27.19
218	5312	24.37
219	5278	24.10
220	5142	23.37
221	5487	24.83
222	5185	23.36
223	5316	23.84
224	5227	23.33
225	5249	23.33
226	5299	23.45
227	5515	24.30
228	5347	23.45
229	5388	23.53
230	5667	24.64
231	5451	23.60
232	5437	23.44
233	6086	26.12
234	5460	23.33
235	5569	23.70
236	5841	24.75
237	5594	23.60
238	5603	23.54
239	5777	24.17
240	5612	23.38
241	5622	23.33
242	5676	23.45
243	5729	23.58
244	5732	23.49
245	5741	23.43
246	5763	23.43
247	5968	24.16
248	5814	23.44
249	6235	25.04
250	6137	24.55
251	6509	25.93
252	5927	23.52
253	5911	23.36
254	6034	23.76
255	5960	23.37
256	7988	31.20
257	12555	48.85
258	6211	24.07
259	6039	23.32
260	6076	23.37
261	6366	24.39
262	6120	23.36
263	6161	23.43
264	6460	24.47
265	6196	23.38
266	6542	24.59
267	6206	23.24
268	6276	23.42
269	6542	24.32
270	6839	25.33
271	6779	25.01
272	6305	23.18
273	6337	23.21
274	6389	23.32
275	6458	23.48
276	6728	24.38
277	6463	23.33
278	6733	24.22
279	6551	23.48
280	6558	23.42
281	6822	24.28
282	6645	23.56
283	6610	23.36
284	7490	26.37
285	6851	24.04
286	6663	23.30
287	6712	23.39
