N	Total Time	Average CPE
1	226	226.00
2	196	98.00
3	212	70.67
4	312	78.00
5	485	97.00
6	555	92.50
7	601	85.86
8	836	104.50
9	754	83.78
10	912	91.20
11	1108	100.73
12	1077	89.75
13	1203	92.54
14	1249	89.21
15	1453	96.87
16	1606	100.38
17	1553	91.35
18	1886	104.78
19	2794	147.05
20	1972	98.60
21	1358	64.67
22	1394	63.36
23	1505	65.43
24	1838	76.58
25	1502	60.08
26	1643	63.19
27	1673	61.96
28	1974	70.50
29	2579	88.93
30	2751	91.70
31	2822	91.03
32	5531	172.84
33	3502	106.12
34	3013	88.62
35	948	27.09
36	709	19.69
37	705	19.05
38	719	18.92
39	772	19.79
40	949	23.73
41	1577	38.46
42	2464	58.67
43	2483	57.74
44	2526	57.41
45	3140	69.78
46	4818	104.74
47	5503	117.09
48	3623	75.48
49	3157	64.43
50	927	18.54
51	1010	19.80
52	925	17.79
53	994	18.75
54	1029	19.06
55	1089	19.80
56	1332	23.79
57	1040	18.25
58	1016	17.52
59	1044	17.69
60	1338	22.30
61	3124	51.21
62	3596	58.00
63	3865	61.35
64	3963	61.92
65	4068	62.58
66	3575	54.17
67	1177	17.57
68	1227	18.04
69	1263	18.30
70	1378	19.69
71	1340	18.87
72	1273	17.68
73	1259	17.25
74	1525	20.61
75	1367	18.23
76	1398	18.39
77	1436	18.65
78	1354	17.36
79	1423	18.01
80	1631	20.39
81	4668	57.63
82	4884	59.56
83	5627	67.80
84	5150	61.31
85	4765	56.06
86	1495	17.38
87	3164	36.37
88	1718	19.52
89	2339	26.28
90	2466	27.40
91	2964	32.57
92	1967	21.38
93	1652	17.76
94	1838	19.55
95	1631	17.17
96	1674	17.44
97	1689	17.41
98	1692	17.27
99	1732	17.49
100	2365	23.65
101	5852	57.94
102	6199	60.77
103	6408	62.21
104	4160	40.00
105	1840	17.52
106	1903	17.95
107	1932	18.06
108	1889	17.49
109	1873	17.18
110	2021	18.37
111	2179	19.63
112	3442	30.73
113	4290	37.96
114	3487	30.59
115	3617	31.45
116	3248	28.00
117	2073	17.72
118	2418	20.49
119	2040	17.14
120	3125	26.04
121	6931	57.28
122	7708	63.18
123	6496	52.81
124	2154	17.37
125	3868	30.94
126	12160	96.51
127	8062	63.48
128	5843	45.65
129	2269	17.59
130	2463	18.95
131	2328	17.77
132	5175	39.20
133	3721	27.98
134	3214	23.99
135	2987	22.13
136	2385	17.54
137	2374	17.33
138	2399	17.38
139	2422	17.42
140	4114	29.39
141	9055	64.22
142	8393	59.11
143	5742	40.15
144	2692	18.69
145	4233	29.19
146	2683	18.38
147	2588	17.61
148	2589	17.49
149	2568	17.23
150	2659	17.73
151	2666	17.66
152	2668	17.55
153	2641	17.26
154	2644	17.17
155	2716	17.52
156	2713	17.39
157	2757	17.56
158	3049	19.30
159	2754	17.32
160	5299	33.12
161	9530	59.19
162	11005	67.93
163	2835	17.39
164	2898	17.67
165	2907	17.62
166	4718	28.42
167	4924	29.49
168	3592	21.38
169	2977	17.62
170	2959	17.41
171	2944	17.22
172	3098	18.01
173	2990	17.28
174	3310	19.02
175	3024	17.28
176	8694	49.40
177	13299	75.14
178	7200	40.45
179	3300	18.44
180	5569	30.94
181	11021	60.89
182	8511	46.76
183	3153	17.23
184	3237	17.59
185	3159	17.08
186	3217	17.30
187	3234	17.29
188	3308	17.60
189	3284	17.38
190	3262	17.17
191	3312	17.34
192	3566	18.57
193	3347	17.34
194	3398	17.52
195	3503	17.96
196	3588	18.31
197	3730	18.93
198	3453	17.44
199	3440	17.29
200	6119	30.59
201	11983	59.62
202	7683	38.03
203	3778	18.61
204	3568	17.49
205	3529	17.21
206	3523	17.10
207	3809	18.40
208	3896	18.73
209	3627	17.35
210	3804	18.11
211	3692	17.50
212	4003	18.88
213	3709	17.41
214	3641	17.01
215	3960	18.42
216	3706	17.16
217	3764	17.35
218	3958	18.16
219	3822	17.45
220	7320	33.27
221	13437	60.80
222	6782	30.55
223	3912	17.54
224	4711	21.03
225	16378	72.79
226	11408	50.48
227	3960	17.44
228	3978	17.45
229	3960	17.29
230	3965	17.24
231	4309	18.65
232	4015	17.31
233	4052	17.39
234	4085	17.46
235	4144	17.63
236	5174	21.92
237	4572	19.29
238	4196	17.63
239	4152	17.37
240	7825	32.60
241	15771	65.44
242	5811	24.01
243	4248	17.48
244	5498	22.53
245	7430	30.33
246	6017	24.46
247	4318	17.48
248	5043	20.33
249	4338	17.42
250	10594	42.38
251	14077	56.08
252	4402	17.47
253	4360	17.23
254	4791	18.86
255	4648	18.23
256	4462	17.43
257	4439	17.27
258	4625	17.93
259	4478	17.29
260	8758	33.68
261	24011	92.00
262	6254	23.87
263	4745	18.04
264	4793	18.16
265	4803	18.12
266	5149	19.36
267	4635	17.36
268	4811	17.95
269	4648	17.28
270	5590	20.70
271	4662	17.20
272	5007	18.41
273	4740	17.36
274	4943	18.04
275	4720	17.16
276	6852	24.83
277	7496	27.06
278	4799	17.26
279	5365	19.23
280	9436	33.70
281	17917	63.76
282	5011	17.77
283	4897	17.30
284	5194	18.29
285	4923	17.27
286	4903	17.14
287	5424	18.90
288	7765	26.96
289	5004	17.31
290	5033	17.36
291	5051	17.36
292	6497	22.25
293	5078	17.33
294	5104	17.36
295	5088	17.25
296	5417	18.30
297	5391	18.15
298	5163	17.33
299	5465	18.28
300	9982	33.27
301	16932	56.25
302	5989	19.83
303	5550	18.32
304	5229	17.20
305	5548	18.19
306	9334	30.50
307	6852	22.32
308	5839	18.96
309	5454	17.65
310	5587	18.02
311	5617	18.06
312	5710	18.30
313	5951	19.01
314	6264	19.95
315	5485	17.41
316	5501	17.41
317	5547	17.50
318	5481	17.24
319	6057	18.99
320	10688	33.40
321	18350	57.17
322	7090	22.02
323	8869	27.46
324	5654	17.45
325	5681	17.48
326	6431	19.73
327	5944	18.18
328	6071	18.51
329	5817	17.68
330	5930	17.97
331	5705	17.24
332	5749	17.32
333	9862	29.62
334	5770	17.28
335	5769	17.22
336	8062	23.99
337	9250	27.45
338	6085	18.00
339	6258	18.46
340	11583	34.07
341	16322	47.87
342	6014	17.58
343	5932	17.29
344	6184	17.98
345	5903	17.11
346	5979	17.28
347	5929	17.09
348	6417	18.44
349	6024	17.26
350	6097	17.42
351	6039	17.21
352	6099	17.33
353	6113	17.32
354	6419	18.13
355	6073	17.11
356	6374	17.90
357	6154	17.24
358	6431	17.96
359	6210	17.30
360	12500	34.72
361	15984	44.28
362	6261	17.30
363	6479	17.85
364	6258	17.19
365	6831	18.72
366	6285	17.17
367	6544	17.83
368	6330	17.20
369	6593	17.87
370	6668	18.02
371	6342	17.09
372	6662	17.91
373	7258	19.46
374	6754	18.06
375	18144	48.38
376	11114	29.56
377	7175	19.03
378	6517	17.24
379	6568	17.33
380	13711	36.08
381	16016	42.04
382	6637	17.37
383	6622	17.29
384	7151	18.62
385	7304	18.97
386	7005	18.15
387	6678	17.26
388	6670	17.19
389	6677	17.16
390	6738	17.28
391	6714	17.17
392	6963	17.76
393	6823	17.36
394	7289	18.50
395	6827	17.28
396	8306	20.97
397	7771	19.57
398	7581	19.05
399	7141	17.90
400	14433	36.08
401	16019	39.95
402	7008	17.43
403	6907	17.14
404	7192	17.80
405	6967	17.20
406	6966	17.16
407	7005	17.21
408	7016	17.20
409	7042	17.22
410	7555	18.43
411	7048	17.15
412	7036	17.08
413	7343	17.78
414	7111	17.18
415	7451	17.95
416	7160	17.21
417	7164	17.18
418	7112	17.01
419	7393	17.64
420	15136	36.04
421	15823	37.58
422	7242	17.16
423	7908	18.70
424	7511	17.71
425	8009	18.84
426	7549	17.72
427	7643	17.90
428	7332	17.13
429	7664	17.86
430	7405	17.22
431	7429	17.24
432	8220	19.03
433	7477	17.27
434	7459	17.19
435	7734	17.78
436	7465	17.12
437	7540	17.25
438	7725	17.64
439	7854	17.89
440	15714	35.71
441	15817	35.87
442	7593	17.18
443	8130	18.35
444	7902	17.80
445	7920	17.80
446	7989	17.91
447	7862	17.59
448	7750	17.30
449	9155	20.39
450	8097	17.99
451	8188	18.16
452	7831	17.33
453	7822	17.27
454	7867	17.33
455	8222	18.07
456	7815	17.14
457	8080	17.68
458	7834	17.10
459	8336	18.16
460	17864	38.83
461	15733	34.13
462	8187	17.72
463	8044	17.37
464	8301	17.89
465	7929	17.05
466	7962	17.09
467	8180	17.52
468	8101	17.31
469	8097	17.26
470	8513	18.11
471	8338	17.70
472	8117	17.20
473	8380	17.72
474	8107	17.10
475	8354	17.59
476	8106	17.03
477	8428	17.67
478	8220	17.20
479	9645	20.14
480	17649	36.77
481	15650	32.54
482	8228	17.07
483	8760	18.14
484	8726	18.03
485	8709	17.96
486	8276	17.03
487	8571	17.60
488	8341	17.09
489	8386	17.15
490	8888	18.14
491	8425	17.16
