N	Total Time	Average CPE
1	244	244.00
2	55	27.50
3	157	52.33
4	88	22.00
5	665	133.00
6	300	50.00
7	218	31.14
8	369	46.12
9	307	34.11
10	438	43.80
11	443	40.27
12	601	50.08
13	502	38.62
14	559	39.93
15	655	43.67
16	895	55.94
17	605	35.59
18	708	39.33
19	715	37.63
20	1120	56.00
21	614	29.24
22	630	28.64
23	742	32.26
24	676	28.17
25	731	29.24
26	776	29.85
27	775	28.70
28	975	34.82
29	1077	37.14
30	1555	51.83
31	1395	45.00
32	1104	34.50
33	1201	36.39
34	1507	44.32
35	681	19.46
36	698	19.39
37	718	19.41
38	748	19.68
39	764	19.59
40	838	20.95
41	710	17.32
42	727	17.31
43	793	18.44
44	1095	24.89
45	1461	32.47
46	1345	29.24
47	1417	30.15
48	1354	28.21
49	1131	23.08
50	858	17.16
51	885	17.35
52	934	17.96
53	973	18.36
54	1007	18.65
55	993	18.05
56	972	17.36
57	976	17.12
58	1000	17.24
59	1031	17.47
60	1164	19.40
61	1048	17.18
62	1086	17.52
63	1691	26.84
64	1715	26.80
65	1822	28.03
66	1983	30.05
67	1152	17.19
68	1184	17.41
69	1193	17.29
70	1183	16.90
71	1264	17.80
72	1246	17.31
73	2437	33.38
74	1292	17.46
75	1506	20.08
76	1464	19.26
77	1498	19.45
78	1321	16.94
79	1346	17.04
80	1524	19.05
81	1372	16.94
82	2054	25.05
83	2319	27.94
84	2283	27.18
85	1781	20.95
86	1495	17.38
87	1507	17.32
88	1559	17.72
89	1567	17.61
90	1560	17.33
91	1560	17.14
92	1868	20.30
93	1579	16.98
94	1599	17.01
95	1684	17.73
96	1663	17.32
97	1654	17.05
98	1948	19.88
99	1791	18.09
100	1905	19.05
101	1715	16.98
102	2662	26.10
103	2810	27.28
104	2209	21.24
105	2074	19.75
106	1832	17.28
107	2005	18.74
108	1847	17.10
109	1858	17.05
110	1874	17.04
111	1926	17.35
112	1883	16.81
113	2212	19.58
114	1924	16.88
115	1930	16.78
116	2007	17.30
117	2020	17.26
118	2051	17.38
119	2082	17.50
120	2207	18.39
121	2223	18.37
122	3363	27.57
123	3079	25.03
124	2121	17.10
125	2308	18.46
126	2556	20.29
127	3720	29.29
128	3038	23.73
129	2186	16.95
130	2246	17.28
131	2328	17.77
132	2267	17.17
133	2252	16.93
134	2318	17.30
135	2289	16.96
136	2306	16.96
137	2331	17.01
138	2388	17.30
139	2370	17.05
140	3076	21.97
141	2931	20.79
142	4177	29.42
143	3092	21.62
144	2500	17.36
145	2509	17.30
146	2489	17.05
147	2478	16.86
148	2519	17.02
149	3023	20.29
150	2589	17.26
151	2546	16.86
152	2571	16.91
153	2567	16.78
154	2606	16.92
155	2646	17.07
156	2639	16.92
157	2665	16.97
158	2672	16.91
159	2697	16.96
160	2918	18.24
161	3597	22.34
162	4333	26.75
163	2782	17.07
164	3007	18.34
165	2828	17.14
166	2851	17.17
167	3191	19.11
168	2841	16.91
169	2898	17.15
170	3318	19.52
171	2937	17.18
172	2916	16.95
173	3309	19.13
174	3107	17.86
175	2925	16.71
176	3246	18.44
177	5183	29.28
178	3570	20.06
179	3019	16.87
180	4708	26.16
181	4235	23.40
182	4598	25.26
183	3128	17.09
184	3110	16.90
185	3166	17.11
186	3109	16.72
187	3360	17.97
188	3334	17.73
189	3200	16.93
190	3248	17.09
191	3198	16.74
192	3438	17.91
193	3233	16.75
194	3277	16.89
195	3298	16.91
196	3293	16.80
197	3297	16.74
198	3343	16.88
199	3361	16.89
200	3601	18.00
201	4819	23.98
202	4464	22.10
203	3488	17.18
204	3539	17.35
205	3596	17.54
206	3522	17.10
207	3503	16.92
208	3483	16.75
209	3528	16.88
210	3705	17.64
211	3535	16.75
212	3608	17.02
213	3591	16.86
214	3620	16.92
215	4160	19.35
216	4168	19.30
217	3623	16.70
218	3643	16.71
219	3674	16.78
220	3898	17.72
221	5707	25.82
222	4607	20.75
223	3791	17.00
224	3766	16.81
225	4761	21.16
226	5717	25.30
227	3941	17.36
228	3804	16.68
229	4012	17.52
230	3865	16.80
231	5007	21.68
232	4108	17.71
233	3954	16.97
234	3963	16.94
235	4012	17.07
236	4001	16.95
237	4191	17.68
238	4002	16.82
239	4156	17.39
240	4483	18.68
241	6180	25.64
242	4554	18.82
243	4380	18.02
244	4133	16.94
245	4117	16.80
246	4192	17.04
247	4204	17.02
248	4204	16.95
249	4246	17.05
250	4507	18.03
251	6693	26.67
252	4300	17.06
253	4364	17.25
254	4260	16.77
255	4292	16.83
256	4364	17.05
257	4596	17.88
258	4374	16.95
259	4392	16.96
260	4582	17.62
261	7035	26.95
262	4599	17.55
263	4433	16.86
264	4706	17.83
265	4466	16.85
266	4446	16.71
267	4506	16.88
268	4517	16.85
269	4487	16.68
270	4597	17.03
271	4734	17.47
272	4565	16.78
273	4631	16.96
274	4847	17.69
275	4661	16.95
276	4651	16.85
277	4868	17.57
278	4643	16.70
279	4691	16.81
280	5006	17.88
281	7417	26.40
282	4862	17.24
283	4797	16.95
284	4784	16.85
285	5438	19.08
286	5046	17.64
287	4988	17.38
288	5117	17.77
289	4845	16.76
290	4939	17.03
291	4914	16.89
292	4934	16.90
293	5136	17.53
294	4954	16.85
295	4994	16.93
296	4948	16.72
297	5036	16.96
298	5066	17.00
299	5452	18.23
300	5422	18.07
301	7891	26.22
302	5278	17.48
303	5196	17.15
304	5069	16.67
305	5158	16.91
306	5151	16.83
307	5149	16.77
308	5213	16.93
309	6115	19.79
310	5534	17.85
311	5208	16.75
312	5325	17.07
313	5517	17.63
314	5391	17.17
315	5360	17.02
316	5632	17.82
317	5399	17.03
318	5425	17.06
319	5399	16.92
320	6332	19.79
321	7989	24.89
322	5631	17.49
323	5406	16.74
324	10325	31.87
325	5536	17.03
326	5771	17.70
327	5680	17.37
328	6347	19.35
329	5601	17.02
330	6368	19.30
331	5621	16.98
332	5637	16.98
333	5762	17.30
334	5910	17.69
335	5671	16.93
336	5697	16.96
337	5643	16.74
338	5895	17.44
339	5778	17.04
340	6259	18.41
341	8365	24.53
342	5880	17.19
343	5781	16.85
344	5809	16.89
345	5776	16.74
346	5802	16.77
347	5847	16.85
348	5896	16.94
349	5955	17.06
350	6075	17.36
351	6301	17.95
352	5962	16.94
353	5918	16.76
354	5941	16.78
355	6008	16.92
356	5924	16.64
357	6243	17.49
358	6069	16.95
359	6148	17.13
360	6636	18.43
361	9740	26.98
362	6474	17.88
363	6156	16.96
364	6268	17.22
365	6174	16.92
366	6249	17.07
367	6229	16.97
368	6214	16.89
369	6651	18.02
370	6338	17.13
371	6292	16.96
372	6518	17.52
373	6247	16.75
374	6342	16.96
375	8283	22.09
376	7499	19.94
377	6559	17.40
378	6352	16.80
379	6653	17.55
380	6978	18.36
381	9038	23.72
382	6692	17.52
383	9308	24.30
384	6975	18.16
385	6778	17.61
386	6545	16.96
387	6701	17.32
388	6542	16.86
389	6794	17.47
390	6889	17.66
391	6618	16.93
392	6688	17.06
393	6821	17.36
394	6932	17.59
395	6796	17.21
396	6765	17.08
397	6628	16.70
398	13642	34.28
399	7287	18.26
400	7766	19.41
401	9239	23.04
402	6790	16.89
403	6744	16.73
404	6745	16.70
405	6802	16.80
406	6922	17.05
407	6824	16.77
408	6812	16.70
409	6874	16.81
410	6914	16.86
411	7437	18.09
412	6880	16.70
413	7410	17.94
414	6983	16.87
415	7509	18.09
416	7037	16.92
417	9556	22.92
418	7244	17.33
419	7180	17.14
420	8394	19.99
421	9022	21.43
422	7316	17.34
423	7291	17.24
424	7080	16.70
425	7798	18.35
426	30197	70.88
427	7928	18.57
428	7307	17.07
429	7334	17.10
430	7225	16.80
431	7523	17.45
432	7556	17.49
433	7433	17.17
434	7228	16.65
435	7258	16.69
436	7421	17.02
437	8370	19.15
438	7487	17.09
439	7377	16.80
440	8924	20.28
441	9771	22.16
442	7681	17.38
443	7564	17.07
444	7602	17.12
445	7928	17.82
446	7674	17.21
447	8006	17.91
448	7775	17.35
449	7707	17.16
450	7715	17.14
451	7657	16.98
452	7818	17.30
453	7876	17.39
454	7770	17.11
455	7971	17.52
456	7663	16.80
457	7757	16.97
458	7770	16.97
459	7783	16.96
460	9422	20.48
461	10071	21.85
462	7904	17.11
463	7809	16.87
464	7870	16.96
465	7990	17.18
466	8508	18.26
467	8743	18.72
468	7916	16.91
469	7889	16.82
470	7881	16.77
471	7994	16.97
472	7982	16.91
473	8564	18.11
474	8304	17.52
475	8120	17.09
476	8098	17.01
477	8386	17.58
478	8399	17.57
479	8046	16.80
480	9520	19.83
481	9988	20.77
482	12288	25.49
483	8851	18.33
484	8170	16.88
485	8205	16.92
486	8340	17.16
487	8595	17.65
488	8202	16.81
489	8517	17.42
490	8320	16.98
491	8673	17.66
492	8312	16.89
493	8778	17.81
494	8404	17.01
495	8588	17.35
496	8406	16.95
497	8379	16.86
498	8467	17.00
499	8400	16.83
500	9208	18.42
501	11144	22.24
502	8538	17.01
503	8539	16.98
504	9288	18.43
505	8989	17.80
506	8870	17.53
507	9020	17.79
508	9369	18.44
509	9036	17.75
510	8708	17.07
511	10588	20.72
512	8920	17.42
513	8681	16.92
514	9160	17.82
515	8975	17.43
516	8831	17.11
517	8967	17.34
518	9035	17.44
519	8796	16.95
520	10561	20.31
521	10691	20.52
522	8814	16.89
523	9388	17.95
524	8898	16.98
525	9615	18.31
526	8962	17.04
527	8879	16.85
528	8900	16.86
529	8903	16.83
530	8954	16.89
531	9113	17.16
532	9220	17.33
533	8908	16.71
534	9039	16.93
535	9127	17.06
536	9012	16.81
537	9148	17.04
538	9501	17.66
539	9704	18.00
540	10790	19.98
541	10717	19.81
542	9093	16.78
543	9413	17.34
544	9422	17.32
545	9317	17.10
546	9566	17.52
547	9576	17.51
548	9449	17.24
549	9485	17.28
550	9282	16.88
551	9281	16.84
552	9273	16.80
553	9391	16.98
554	9382	16.94
555	9696	17.47
556	9325	16.77
557	9418	16.91
558	10652	19.09
559	9448	16.90
560	11203	20.01
561	10921	19.47
562	9656	17.18
563	13392	23.79
564	12870	22.82
565	9812	17.37
566	9736	17.20
567	9620	16.97
568	9852	17.35
569	9665	16.99
570	9678	16.98
571	9780	17.13
572	10098	17.65
573	14280	24.92
574	9945	17.33
575	10397	18.08
576	13757	23.88
577	9771	16.93
578	10131	17.53
579	9899	17.10
580	11207	19.32
581	10996	18.93
582	10139	17.42
583	9983	17.12
584	10068	17.24
585	10051	17.18
