N	Total Time	Average CPE
2048	22692	11.08
6144	67561	11.00
10240	111884	10.93
14336	158803	11.08
18432	203964	11.07
22528	248298	11.02
26624	321088	12.06
30720	348140	11.33
34816	392091	11.26
38912	454531	11.68
43008	479768	11.16
47104	531172	11.28
51200	574597	11.22
55296	634255	11.47
59392	659204	11.10
63488	704561	11.10
67584	757839	11.21
71680	801249	11.18
75776	843231	11.13
79872	894083	11.19
83968	941557	11.21
88064	977582	11.10
92160	1032700	11.21
96256	1076985	11.19
100352	1127964	11.24
104448	1162727	11.13
108544	1219042	11.23
112640	1280710	11.37
116736	1309894	11.22
120832	1348375	11.16
124928	1407285	11.26
129024	1458434	11.30
133120	1518123	11.40
137216	1537060	11.20
141312	1611261	11.40
145408	1617199	11.12
149504	1694013	11.33
153600	1734908	11.29
157696	1764238	11.19
161792	1821339	11.26
165888	1884487	11.36
169984	1896929	11.16
174080	1995098	11.46
178176	2026234	11.37
182272	2061043	11.31
186368	2095091	11.24
190464	2180191	11.45
194560	2184662	11.23
198656	2233511	11.24
202752	2329552	11.49
206848	2334923	11.29
210944	3364936	15.95
215040	2413320	11.22
219136	2469033	11.27
223232	2515705	11.27
227328	2573341	11.32
231424	2599585	11.23
235520	2645406	11.23
239616	2712024	11.32
243712	2774353	11.38
247808	2815721	11.36
251904	2811404	11.16
256000	2958705	11.56
260096	2911582	11.19
264192	3001624	11.36
268288	3009913	11.22
272384	3051627	11.20
276480	3092425	11.18
280576	3152014	11.23
284672	3215499	11.30
288768	3234490	11.20
292864	3320428	11.34
296960	3358011	11.31
301056	3594006	11.94
305152	3530861	11.57
309248	3490949	11.29
313344	3541003	11.30
317440	3583437	11.29
321536	3634588	11.30
325632	3667096	11.26
329728	3701625	11.23
333824	3792879	11.36
337920	3856958	11.41
342016	3881176	11.35
346112	3936338	11.37
350208	3934107	11.23
354304	4276799	12.07
358400	4029213	11.24
362496	4354392	12.01
366592	4222590	11.52
370688	4190013	11.30
374784	4253423	11.35
378880	4284379	11.31
382976	4332003	11.31
387072	4371561	11.29
391168	4423857	11.31
395264	4410684	11.16
399360	4610622	11.55
403456	4540206	11.25
407552	4649906	11.41
411648	4617980	11.22
415744	4683592	11.27
419840	4769923	11.36
423936	4805480	11.34
428032	4839299	11.31
432128	4861899	11.25
436224	4933324	11.31
440320	4906866	11.14
444416	4988478	11.22
448512	5050835	11.26
452608	5088780	11.24
456704	5160122	11.30
460800	5207880	11.30
464896	5241948	11.28
468992	5354415	11.42
473088	5415244	11.45
477184	5546052	11.62
481280	5492833	11.41
485376	5483436	11.30
489472	5583862	11.41
493568	5848701	11.85
497664	6095333	12.25
501760	6109286	12.18
505856	6353602	12.56
509952	6241946	12.24
514048	6171607	12.01
518144	5963489	11.51
522240	5933207	11.36
526336	5908458	11.23
530432	5950962	11.22
534528	5999831	11.22
538624	6059098	11.25
542720	6116832	11.27
546816	6193227	11.33
550912	6214605	11.28
555008	6248046	11.26
559104	6310171	11.29
563200	6391925	11.35
567296	6497555	11.45
571392	6739943	11.80
575488	6580625	11.43
579584	6764013	11.67
583680	6623449	11.35
587776	6660288	11.33
591872	6721791	11.36
595968	7530279	12.64
600064	6847062	11.41
604160	6796048	11.25
608256	6907173	11.36
612352	6959428	11.37
616448	6979349	11.32
620544	7052628	11.37
624640	7079797	11.33
628736	7120489	11.33
632832	7239731	11.44
636928	7221115	11.34
641024	7298491	11.39
645120	7290282	11.30
649216	7434507	11.45
653312	7400232	11.33
657408	7481103	11.38
661504	7499180	11.34
665600	7495863	11.26
669696	7578422	11.32
673792	7682943	11.40
677888	7663594	11.31
681984	8048581	11.80
686080	8105722	11.81
690176	8194347	11.87
694272	8242173	11.87
698368	8223813	11.78
702464	8481679	12.07
706560	8311252	11.76
710656	8255680	11.62
714752	8059453	11.28
718848	8146318	11.33
722944	8175588	11.31
727040	8239092	11.33
731136	8325948	11.39
735232	8329839	11.33
739328	8405909	11.37
743424	8437609	11.35
747520	8501593	11.37
751616	8558870	11.39
755712	8478132	11.22
759808	8622035	11.35
763904	8582442	11.23
768000	8712097	11.34
772096	8773018	11.36
776192	8867398	11.42
780288	8870848	11.37
784384	8817913	11.24
788480	9032524	11.46
792576	8921185	11.26
796672	9033473	11.34
800768	9054469	11.31
804864	9136946	11.35
808960	9352208	11.56
813056	9187432	11.30
817152	9283324	11.36
821248	9275730	11.29
825344	9422168	11.42
829440	9425044	11.36
833536	9475990	11.37
837632	9549898	11.40
841728	9538096	11.33
845824	9629336	11.38
849920	9628002	11.33
854016	9669605	11.32
858112	9770662	11.39
862208	9806774	11.37
866304	9797587	11.31
870400	9984097	11.47
874496	9890159	11.31
