N	Total Time	Average CPE
2048	22124	10.80
6144	60526	9.85
10240	100385	9.80
14336	141093	9.84
18432	180668	9.80
22528	226541	10.06
26624	260976	9.80
30720	300276	9.77
34816	339949	9.76
38912	384191	9.87
43008	426294	9.91
47104	475130	10.09
51200	502038	9.81
55296	542091	9.80
59392	582094	9.80
63488	623444	9.82
67584	665590	9.85
71680	705673	9.84
75776	769376	10.15
79872	800287	10.02
83968	831101	9.90
88064	871587	9.90
92160	917261	9.95
96256	951629	9.89
100352	1009891	10.06
104448	1037765	9.94
108544	1078468	9.94
112640	1123377	9.97
116736	1158915	9.93
120832	1191682	9.86
124928	1231863	9.86
129024	1305181	10.12
133120	1312600	9.86
137216	1352854	9.86
141312	1413999	10.01
145408	1536421	10.57
149504	1477633	9.88
153600	1521465	9.91
157696	1559083	9.89
161792	1609273	9.95
165888	1640954	9.89
169984	1689176	9.94
174080	1760885	10.12
178176	1768146	9.92
182272	1803052	9.89
186368	1850260	9.93
190464	1886192	9.90
194560	1929276	9.92
198656	1949921	9.82
202752	2044890	10.09
206848	2086281	10.09
210944	2093020	9.92
215040	2129298	9.90
219136	2231155	10.18
223232	2223820	9.96
227328	2309401	10.16
231424	2416754	10.44
235520	2332942	9.91
239616	2395341	10.00
243712	2434885	9.99
247808	2470721	9.97
251904	2495911	9.91
256000	2559359	10.00
260096	2570095	9.88
264192	2658041	10.06
268288	2732537	10.19
272384	2710234	9.95
276480	2761827	9.99
280576	2838534	10.12
284672	2815857	9.89
288768	2880285	9.97
292864	2916470	9.96
296960	2924741	9.85
301056	3010305	10.00
305152	3016843	9.89
309248	3085959	9.98
313344	3140252	10.02
317440	3145078	9.91
321536	3204543	9.97
325632	3245455	9.97
329728	3258468	9.88
333824	3310428	9.92
337920	4704445	13.92
342016	3660969	10.70
346112	3439580	9.94
350208	3495943	9.98
354304	3536669	9.98
358400	3629731	10.13
362496	3664443	10.11
366592	3670328	10.01
370688	3671009	9.90
374784	3721077	9.93
