N	Total Time	Average CPE
2048	19310	9.43
6144	55879	9.09
10240	96102	9.38
14336	154894	10.80
18432	212124	11.51
22528	282103	12.52
26624	378528	14.22
30720	466323	15.18
34816	526877	15.13
38912	628970	16.16
43008	706585	16.43
47104	827206	17.56
51200	1016472	19.85
55296	1116912	20.20
59392	1255079	21.13
63488	1454668	22.91
67584	1612672	23.86
71680	1841027	25.68
75776	2066621	27.27
79872	2224254	27.85
83968	2428604	28.92
88064	2765471	31.40
92160	2952763	32.04
96256	3252697	33.79
100352	3597238	35.85
104448	3882813	37.17
108544	4117333	37.93
112640	4208823	37.37
116736	4499859	38.55
120832	4858108	40.21
124928	4854910	38.86
129024	5427204	42.06
133120	5623211	42.24
137216	5596849	40.79
141312	5995558	42.43
145408	6363742	43.76
149504	6717912	44.93
153600	12884998	83.89
157696	8275772	52.48
161792	12887057	79.65
165888	8744597	52.71
169984	9061557	53.31
174080	7946954	45.65
178176	7943521	44.58
182272	11791959	64.69
186368	8715417	46.76
190464	9741420	51.15
194560	12135748	62.38
198656	9783729	49.25
202752	9569684	47.20
206848	10372517	50.15
210944	10362572	49.12
215040	10630517	49.44
219136	11344979	51.77
223232	11524363	51.63
227328	12546250	55.19
231424	13404367	57.92
235520	12834171	54.49
239616	15390153	64.23
243712	17381685	71.32
247808	16513051	66.64
251904	16125455	64.01
256000	21147419	82.61
260096	22080237	84.89
264192	18374834	69.55
268288	22227886	82.85
272384	24287348	89.17
276480	25668674	92.84
280576	26147867	93.19
284672	24692810	86.74
288768	23954447	82.95
292864	33470975	114.29
296960	30901539	104.06
301056	34556266	114.78
305152	27734328	90.89
309248	44231316	143.03
313344	21823699	69.65
317440	24479994	77.12
321536	23869078	74.23
325632	41244753	126.66
329728	39397999	119.49
333824	49077359	147.02
337920	40616129	120.19
342016	34643950	101.29
346112	18833887	54.42
350208	18940366	54.08
354304	19884466	56.12
358400	30761188	85.83
362496	48243975	133.09
366592	45582227	124.34
370688	56118012	151.39
374784	47193839	125.92
378880	60420236	159.47
382976	67106822	175.22
387072	59036037	152.52
391168	65852439	168.35
395264	74951314	189.62
399360	89740586	224.71
403456	84055693	208.34
407552	77130414	189.25
411648	77301465	187.79
415744	73666851	177.19
419840	71542844	170.41
423936	81072691	191.24
428032	85304508	199.29
432128	89191478	206.40
436224	91362659	209.44
440320	89715834	203.75
444416	109837742	247.15
448512	109387207	243.89
452608	87490013	193.30
456704	41679249	91.26
460800	47996524	104.16
464896	92482615	198.93
468992	101290092	215.97
473088	104007193	219.85
477184	106810497	223.84
481280	108666910	225.79
485376	108063367	222.64
