N	Total Time	Average CPE
2048	23994	11.72
6144	61948	10.08
10240	121264	11.84
14336	196700	13.72
18432	279988	15.19
22528	373345	16.57
26624	510315	19.17
30720	712348	23.19
34816	979929	28.15
38912	1298275	33.36
43008	1507828	35.06
47104	1755011	37.26
51200	2064933	40.33
55296	2268105	41.02
59392	2611030	43.96
63488	2769904	43.63
67584	3100742	45.88
71680	3436237	47.94
75776	3793465	50.06
79872	4058484	50.81
83968	4515139	53.77
88064	4882239	55.44
92160	4954889	53.76
96256	7917756	82.26
100352	5784410	57.64
104448	7206113	68.99
108544	7739100	71.30
112640	9183336	81.53
116736	10060045	86.18
120832	5967400	49.39
124928	6346015	50.80
129024	6312490	48.92
133120	7170239	53.86
137216	6976770	50.85
141312	7379986	52.22
145408	8597055	59.12
149504	8158711	54.57
153600	8620858	56.13
157696	8688651	55.10
161792	19407078	119.95
165888	26427162	159.31
169984	35058625	206.25
174080	34850271	200.20
178176	35841041	201.16
182272	40882285	224.29
186368	39440542	211.63
190464	41157225	216.09
194560	39774463	204.43
198656	46333853	233.24
202752	42055359	207.42
206848	46482731	224.72
210944	47833006	226.76
215040	52260394	243.03
219136	55841348	254.83
223232	49205978	220.43
227328	49810143	219.11
231424	54160088	234.03
235520	53836804	228.59
239616	58092167	242.44
243712	59814338	245.43
247808	60276175	243.24
251904	65191430	258.79
256000	65832362	257.16
260096	68406978	263.01
264192	68198329	258.14
268288	70185001	261.60
272384	66287733	243.36
276480	69255946	250.49
280576	74406502	265.19
284672	76546726	268.89
288768	51938204	179.86
292864	64359099	219.76
296960	78523749	264.43
301056	81820039	271.78
305152	90865321	297.77
309248	105021934	339.60
313344	91112298	290.77
317440	88929267	280.15
321536	90490610	281.43
325632	91376132	280.61
329728	95466362	289.53
333824	98441621	294.89
337920	94685391	280.20
342016	96684925	282.69
346112	98931042	285.84
350208	102138827	291.65
354304	100446489	283.50
358400	102985156	287.35
362496	102932430	283.95
366592	107471221	293.16
370688	105742812	285.26
374784	107984011	288.12
378880	105141177	277.51
382976	111486429	291.11
387072	111824999	288.90
391168	113057391	289.03
395264	112685416	285.09
399360	115830412	290.04
403456	117846718	292.09
407552	117864688	289.20
411648	118315777	287.42
415744	122245694	294.04
419840	123073826	293.14
423936	126511438	298.42
428032	131955807	308.28
432128	126401988	292.51
436224	129004334	295.73
440320	128167820	291.08
444416	130313665	293.22
448512	134368468	299.59
452608	131931110	291.49
456704	131443392	287.81
460800	134750425	292.43
464896	136932098	294.54
468992	141769672	302.29
473088	142702404	301.64
477184	142376579	298.37
481280	145730556	302.80
485376	144524621	297.76
489472	144939532	296.11
493568	149715120	303.33
497664	166148503	333.86
501760	155129324	309.17
505856	152389180	301.25
509952	156412147	306.72
514048	151391759	294.51
518144	153047955	295.38
522240	160493353	307.32
526336	156360077	297.07
530432	158659228	299.11
534528	161400009	301.95
538624	162798977	302.25
542720	166682731	307.12
546816	164954506	301.66
550912	165218627	299.90
555008	165935454	298.98
559104	165324215	295.69
563200	168411355	299.03
567296	172761681	304.54
571392	173326531	303.34
575488	170149336	295.66
579584	176711815	304.89
583680	178522995	305.86
587776	179222949	304.92
591872	182454826	308.27
595968	182918121	306.93
600064	186899509	311.47
604160	188220787	311.54
608256	185545079	305.04
612352	187019385	305.41
616448	190726413	309.40
620544	195466982	314.99
624640	185501478	296.97
628736	190522144	303.02
632832	190985014	301.79
636928	192803401	302.71
641024	194150921	302.88
645120	200639464	311.01
649216	199235241	306.89
653312	200149694	306.36
657408	202751371	308.41
661504	201491369	304.60
665600	204783632	307.67
669696	206729756	308.69
673792	210478938	312.38
677888	205531737	303.19
681984	205637661	301.53
686080	205162136	299.04
690176	211909246	307.04
694272	213183226	307.06
698368	215648995	308.79
702464	211871527	301.61
706560	217419666	307.72
710656	218556276	307.54
714752	226982060	317.57
718848	222965398	310.17
722944	224333879	310.31
727040	220370959	303.11
731136	223415803	305.57
735232	219987022	299.21
739328	221248011	299.26
743424	222738231	299.61
747520	229596752	307.14
751616	229803111	305.75
755712	230886716	305.52
759808	230343976	303.16
763904	232173786	303.93
768000	234746104	305.66
772096	235957758	305.61
776192	239821652	308.97
780288	235695652	302.06
784384	240404422	306.49
788480	238588180	302.59
792576	244088726	307.97
796672	252777624	317.29
800768	251096807	313.57
804864	248788053	309.11
808960	249991335	309.03
813056	249039651	306.30
817152	254507945	311.46
821248	255929207	311.63
825344	250409903	303.40
829440	251673490	303.43
833536	256255180	307.43
837632	259825189	310.19
841728	258603318	307.23
845824	258665608	305.81
849920	266163232	313.16
854016	264327817	309.51
858112	263455296	307.02
862208	263448778	305.55
866304	269389025	310.96
870400	282018875	324.01
874496	267444054	305.83
878592	270258280	307.60
882688	272960220	309.24
886784	271639431	306.32
890880	272673472	306.07
894976	271855638	303.76
899072	273316309	304.00
903168	272695425	301.93
907264	274386656	302.43
911360	278121855	305.17
915456	283469599	309.65
919552	290715410	316.15
923648	279476312	302.58
927744	293390485	316.24
931840	289438500	310.61
935936	305677839	326.60
