N	Total Time	Average CPE
2048	18972	9.26
6144	55772	9.08
10240	101985	9.96
14336	147298	10.27
18432	223907	12.15
22528	292735	12.99
26624	366261	13.76
30720	438049	14.26
34816	537800	15.45
38912	590451	15.17
43008	701583	16.31
47104	794839	16.87
51200	901449	17.61
55296	1058746	19.15
59392	1175850	19.80
63488	1377152	21.69
67584	1571989	23.26
71680	1877800	26.20
75776	2012234	26.56
79872	2215197	27.73
83968	2482568	29.57
88064	2848257	32.34
92160	3106076	33.70
96256	3434066	35.68
100352	3592245	35.80
104448	3776938	36.16
108544	4009144	36.94
112640	4187065	37.17
116736	4564428	39.10
120832	4781235	39.57
124928	4804336	38.46
129024	5107124	39.58
133120	5456749	40.99
137216	5676895	41.37
141312	7662090	54.22
145408	8360399	57.50
149504	19445147	130.06
153600	8151868	53.07
157696	8977935	56.93
161792	9082219	56.14
165888	9734911	58.68
169984	9945876	58.51
174080	13713258	78.78
178176	11490558	64.49
182272	18148230	99.57
186368	14993725	80.45
190464	13275879	69.70
194560	10382361	53.36
198656	10611177	53.41
202752	10627307	52.42
206848	11424200	55.23
210944	11152947	52.87
215040	18009042	83.75
219136	22512919	102.73
223232	12077706	54.10
227328	12040774	52.97
231424	12854989	55.55
235520	11462029	48.67
239616	12106736	50.53
243712	12104212	49.67
247808	12082942	48.76
251904	18849247	74.83
256000	24066536	94.01
260096	24056034	92.49
264192	24950481	94.44
268288	13127804	48.93
272384	31325421	115.00
276480	14006774	50.66
280576	14336938	51.10
284672	19265794	67.68
288768	34968146	121.09
292864	48487640	165.56
296960	38671698	130.23
301056	40363492	134.07
305152	32870120	107.72
309248	39102763	126.44
313344	59485802	189.84
317440	42325682	133.33
321536	48663173	151.35
325632	50803891	156.02
329728	54590375	165.56
333824	45570647	136.51
337920	54330442	160.78
342016	57208118	167.27
346112	54518614	157.52
350208	59945593	171.17
354304	61212981	172.77
358400	59860537	167.02
362496	65134081	179.68
366592	60619444	165.36
370688	34492560	93.05
374784	29947783	79.91
378880	68937482	181.95
382976	78000765	203.67
387072	81511665	210.59
391168	80605780	206.06
395264	75953901	192.16
399360	74305659	186.06
403456	74327002	184.23
407552	74704816	183.30
411648	58506643	142.13
415744	27024701	65.00
419840	30415460	72.45
423936	61949865	146.13
428032	84153903	196.61
432128	82955087	191.97
436224	88480446	202.83
440320	98018530	222.61
444416	94232730	212.04
448512	92409600	206.04
452608	98288717	217.16
456704	101287918	221.78
460800	101114700	219.43
464896	105210918	226.31
468992	99000913	211.09
473088	99405664	210.12
477184	101397812	212.49
481280	95383302	198.19
485376	53967409	111.19
489472	102315262	209.03
493568	103649493	210.00
497664	98449562	197.82
501760	109180419	217.59
505856	113688477	224.74
509952	102024948	200.07
514048	117107525	227.81
518144	119277223	230.20
522240	120885785	231.48
526336	131386209	249.62
530432	126037106	237.61
534528	119491888	223.55
538624	113675527	211.05
542720	141682996	261.06
546816	131867371	241.15
550912	86770591	157.50
555008	130121349	234.45
559104	133692159	239.12
563200	134937385	239.59
567296	136002232	239.74
571392	134646749	235.65
575488	140945422	244.91
579584	137513825	237.26
583680	146634438	251.22
587776	147672415	251.24
591872	151245797	255.54
595968	124607291	209.08
600064	107468717	179.10
604160	146321693	242.19
608256	152315125	250.41
612352	143592897	234.49
616448	147409828	239.13
620544	150397034	242.36
624640	151218902	242.09
628736	151465747	240.91
632832	156854224	247.86
636928	129958634	204.04
641024	141490380	220.73
645120	157211179	243.69
649216	159077069	245.03
653312	159874893	244.71
657408	160838785	244.66
661504	155955417	235.76
665600	174556630	262.25
669696	155934317	232.84
673792	169079303	250.94
677888	183332596	270.45
681984	180705779	264.97
686080	189844255	276.71
690176	187101596	271.09
694272	176527954	254.26
698368	180793185	258.88
702464	182654847	260.02
706560	174988609	247.66
710656	158275422	222.72
714752	180724950	252.85
718848	182073549	253.29
722944	183400423	253.69
727040	189397241	260.50
731136	188768785	258.19
735232	194459498	264.49
739328	171938720	232.56
743424	199318897	268.11
747520	199195381	266.47
751616	197768448	263.12
755712	193660266	256.26
759808	199023486	261.94
763904	198671121	260.07
768000	197473237	257.13
772096	168421742	218.14
776192	197721590	254.73
780288	210155072	269.33
784384	204471440	260.68
788480	210381485	266.82
792576	222078247	280.20
